,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
48,93,15,15,0,2021-11-02 00:00:00,11/2/21,Wisconsin,10/20/2021,11/3/2021,Probable case death,0,0.00
49,93,20,18,2,2021-11-01 00:00:00,11/1/21,Wisconsin,10/19/2021,11/2/2021,Probable case death,2,2.00
50,93,8,8,0,2021-10-31 00:00:00,10/31/21,Wisconsin,10/18/2021,11/1/2021,Probable case death,0,0.00
51,93,12,12,0,2021-10-30 00:00:00,10/30/21,Wisconsin,10/17/2021,10/31/2021,Probable case death,0,0.00
52,93,13,12,1,2021-10-29 00:00:00,10/29/21,Wisconsin,10/16/2021,10/30/2021,Probable case death,1,1.00
53,93,14,10,4,2021-10-28 00:00:00,10/28/21,Wisconsin,10/15/2021,10/29/2021,Probable case death,4,4.00
54,93,20,19,1,2021-10-27 00:00:00,10/27/21,Wisconsin,10/14/2021,10/28/2021,Probable case death,1,1.00
55,93,23,23,0,2021-10-26 00:00:00,10/26/21,Wisconsin,10/13/2021,10/27/2021,Probable case death,0,0.00
56,93,18,16,2,2021-10-25 00:00:00,10/25/21,Wisconsin,10/12/2021,10/26/2021,Probable case death,2,2.00
57,93,20,18,2,2021-10-24 00:00:00,10/24/21,Wisconsin,10/11/2021,10/25/2021,Probable case death,2,2.00
58,93,21,18,3,2021-10-23 00:00:00,10/23/21,Wisconsin,10/10/2021,10/24/2021,Probable case death,3,3.00
59,93,17,16,1,2021-10-22 00:00:00,10/22/21,Wisconsin,10/9/2021,10/23/2021,Probable case death,1,1.00
60,93,22,21,1,2021-10-21 00:00:00,10/21/21,Wisconsin,10/8/2021,10/22/2021,Probable case death,1,1.00
61,93,28,21,7,2021-10-20 00:00:00,10/20/21,Wisconsin,10/7/2021,10/21/2021,Probable case death,7,7.00
62,93,22,21,1,2021-10-19 00:00:00,10/19/21,Wisconsin,10/6/2021,10/20/2021,Probable case death,1,1.00
63,93,23,22,1,2021-10-18 00:00:00,10/18/21,Wisconsin,10/5/2021,10/19/2021,Probable case death,1,1.00
64,93,18,16,2,2021-10-17 00:00:00,10/17/21,Wisconsin,10/4/2021,10/18/2021,Probable case death,2,2.00
65,93,28,25,3,2021-10-16 00:00:00,10/16/21,Wisconsin,10/3/2021,10/17/2021,Probable case death,3,3.00
66,93,29,28,1,2021-10-15 00:00:00,10/15/21,Wisconsin,10/2/2021,10/16/2021,Probable case death,1,1.00
67,93,22,18,4,2021-10-14 00:00:00,10/14/21,Wisconsin,10/1/2021,10/15/2021,Probable case death,4,4.00
68,93,22,19,3,2021-10-13 00:00:00,10/13/21,Wisconsin,9/30/2021,10/14/2021,Probable case death,3,3.00
69,93,26,25,1,2021-10-12 00:00:00,10/12/21,Wisconsin,9/29/2021,10/13/2021,Probable case death,1,1.00
70,93,28,27,1,2021-10-11 00:00:00,10/11/21,Wisconsin,9/28/2021,10/12/2021,Probable case death,1,1.00
71,93,17,15,2,2021-10-10 00:00:00,10/10/21,Wisconsin,9/27/2021,10/11/2021,Probable case death,2,2.00
72,93,29,25,4,2021-10-09 00:00:00,10/9/21,Wisconsin,9/26/2021,10/10/2021,Probable case death,4,4.00
73,93,27,23,4,2021-10-08 00:00:00,10/8/21,Wisconsin,9/25/2021,10/9/2021,Probable case death,4,4.00
74,93,29,27,2,2021-10-07 00:00:00,10/7/21,Wisconsin,9/24/2021,10/8/2021,Probable case death,2,2.00
75,93,31,27,4,2021-10-06 00:00:00,10/6/21,Wisconsin,9/23/2021,10/7/2021,Probable case death,4,4.00
76,93,23,22,1,2021-10-05 00:00:00,10/5/21,Wisconsin,9/22/2021,10/6/2021,Probable case death,1,1.00
77,93,20,18,2,2021-10-04 00:00:00,10/4/21,Wisconsin,9/21/2021,10/5/2021,Probable case death,2,2.00
78,93,23,20,3,2021-10-03 00:00:00,10/3/21,Wisconsin,9/20/2021,10/4/2021,Probable case death,3,3.00
79,93,23,20,3,2021-10-02 00:00:00,10/2/21,Wisconsin,9/19/2021,10/3/2021,Probable case death,3,3.00
80,93,15,13,2,2021-10-01 00:00:00,10/1/21,Wisconsin,9/18/2021,10/2/2021,Probable case death,2,2.00
81,93,17,16,1,2021-09-30 00:00:00,9/30/21,Wisconsin,9/17/2021,10/1/2021,Probable case death,1,1.00
82,93,23,22,1,2021-09-29 00:00:00,9/29/21,Wisconsin,9/16/2021,9/30/2021,Probable case death,1,1.00
