,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
0,92,0,0,0,2021-07-26 00:00:00,7/26,Wisconsin,7/13/2021,7/27/2021,Probable case death,0,0.00
1,92,0,0,0,2021-07-25 00:00:00,7/25,Wisconsin,7/12/2021,7/26/2021,Probable case death,0,0.00
2,92,1,1,0,2021-07-24 00:00:00,7/24,Wisconsin,7/11/2021,7/25/2021,Probable case death,0,0.00
3,92,1,0,1,2021-07-23 00:00:00,7/23,Wisconsin,7/10/2021,7/24/2021,Probable case death,1,1.00
4,92,0,0,0,2021-07-22 00:00:00,7/22,Wisconsin,7/9/2021,7/23/2021,Probable case death,0,0.00
5,92,0,0,0,2021-07-21 00:00:00,7/21,Wisconsin,7/8/2021,7/22/2021,Probable case death,0,0.00
6,92,0,0,0,2021-07-20 00:00:00,7/20,Wisconsin,7/7/2021,7/21/2021,Probable case death,0,0.00
7,92,0,0,0,2021-07-19 00:00:00,7/19,Wisconsin,7/6/2021,7/20/2021,Probable case death,0,0.00
8,92,0,0,0,2021-07-18 00:00:00,7/18,Wisconsin,7/5/2021,7/19/2021,Probable case death,0,0.00
9,92,1,1,0,2021-07-17 00:00:00,7/17,Wisconsin,7/4/2021,7/18/2021,Probable case death,0,0.00
10,92,2,2,0,2021-07-16 00:00:00,7/16,Wisconsin,7/3/2021,7/17/2021,Probable case death,0,0.00
11,92,1,1,0,2021-07-15 00:00:00,7/15,Wisconsin,7/2/2021,7/16/2021,Probable case death,0,0.00
12,92,3,3,0,2021-07-14 00:00:00,7/14,Wisconsin,7/1/2021,7/15/2021,Probable case death,0,0.00
13,92,0,0,0,2021-07-13 00:00:00,7/13,Wisconsin,6/30/2021,7/14/2021,Probable case death,0,0.00
14,92,0,0,0,2021-07-12 00:00:00,7/12,Wisconsin,6/29/2021,7/13/2021,Probable case death,0,0.00
15,92,1,1,0,2021-07-11 00:00:00,7/11,Wisconsin,6/28/2021,7/12/2021,Probable case death,0,0.00
16,92,1,1,0,2021-07-10 00:00:00,7/10,Wisconsin,6/27/2021,7/11/2021,Probable case death,0,0.00
17,92,1,1,0,2021-07-09 00:00:00,7/09,Wisconsin,6/26/2021,7/10/2021,Probable case death,0,0.00
18,92,1,1,0,2021-07-08 00:00:00,7/08,Wisconsin,6/25/2021,7/9/2021,Probable case death,0,0.00
19,92,0,0,0,2021-07-07 00:00:00,7/07,Wisconsin,6/24/2021,7/8/2021,Probable case death,0,0.00
20,92,3,3,0,2021-07-06 00:00:00,7/06,Wisconsin,6/23/2021,7/7/2021,Probable case death,0,0.00
21,92,1,1,0,2021-07-05 00:00:00,7/05,Wisconsin,6/22/2021,7/6/2021,Probable case death,0,0.00
22,92,1,1,0,2021-07-04 00:00:00,7/04,Wisconsin,6/21/2021,7/5/2021,Probable case death,0,0.00
23,92,2,2,0,2021-07-03 00:00:00,7/03,Wisconsin,6/20/2021,7/4/2021,Probable case death,0,0.00
24,92,0,0,0,2021-07-02 00:00:00,7/02,Wisconsin,6/19/2021,7/3/2021,Probable case death,0,0.00
25,92,2,2,0,2021-07-01 00:00:00,7/01,Wisconsin,6/18/2021,7/2/2021,Probable case death,0,0.00
26,92,2,2,0,2021-06-30 00:00:00,6/30,Wisconsin,6/17/2021,7/1/2021,Probable case death,0,0.00
27,92,0,0,0,2021-06-29 00:00:00,6/29,Wisconsin,6/16/2021,6/30/2021,Probable case death,0,0.00
28,92,2,2,0,2021-06-28 00:00:00,6/28,Wisconsin,6/15/2021,6/29/2021,Probable case death,0,0.00
29,92,3,3,0,2021-06-27 00:00:00,6/27,Wisconsin,6/14/2021,6/28/2021,Probable case death,0,0.00
30,92,0,0,0,2021-06-26 00:00:00,6/26,Wisconsin,6/13/2021,6/27/2021,Probable case death,0,0.00
31,92,1,1,0,2021-06-25 00:00:00,6/25,Wisconsin,6/12/2021,6/26/2021,Probable case death,0,0.00
32,92,0,0,0,2021-06-24 00:00:00,6/24,Wisconsin,6/11/2021,6/25/2021,Probable case death,0,0.00
33,92,1,1,0,2021-06-23 00:00:00,6/23,Wisconsin,6/10/2021,6/24/2021,Probable case death,0,0.00
34,92,3,3,0,2021-06-22 00:00:00,6/22,Wisconsin,6/9/2021,6/23/2021,Probable case death,0,0.00
35,92,0,0,0,2021-06-21 00:00:00,6/21,Wisconsin,6/8/2021,6/22/2021,Probable case death,0,0.00
36,92,1,1,0,2021-06-20 00:00:00,6/20,Wisconsin,6/7/2021,6/21/2021,Probable case death,0,0.00
37,92,0,0,0,2021-06-19 00:00:00,6/19,Wisconsin,6/6/2021,6/20/2021,Probable case death,0,0.00
38,92,0,0,0,2021-06-18 00:00:00,6/18,Wisconsin,6/5/2021,6/19/2021,Probable case death,0,0.00
39,92,1,1,0,2021-06-17 00:00:00,6/17,Wisconsin,6/4/2021,6/18/2021,Probable case death,0,0.00
40,92,0,0,0,2021-06-16 00:00:00,6/16,Wisconsin,6/3/2021,6/17/2021,Probable case death,0,0.00
41,92,0,0,0,2021-06-15 00:00:00,6/15,Wisconsin,6/2/2021,6/16/2021,Probable case death,0,0.00
42,92,2,2,0,2021-06-14 00:00:00,6/14,Wisconsin,6/1/2021,6/15/2021,Probable case death,0,0.00
43,92,2,2,0,2021-06-13 00:00:00,6/13,Wisconsin,5/31/2021,6/14/2021,Probable case death,0,0.00
44,92,4,4,0,2021-06-12 00:00:00,6/12,Wisconsin,5/30/2021,6/13/2021,Probable case death,0,0.00
45,92,1,1,0,2021-06-11 00:00:00,6/11,Wisconsin,5/29/2021,6/12/2021,Probable case death,0,0.00
46,92,1,1,0,2021-06-10 00:00:00,6/10,Wisconsin,5/28/2021,6/11/2021,Probable case death,0,0.00
