,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
0,93,0,0,0,2021-06-21 00:00:00,6/21/21,Wisconsin,6/8/2021,6/22/2021,Probable case death,0,0.00
1,93,1,1,0,2021-06-20 00:00:00,6/20/21,Wisconsin,6/7/2021,6/21/2021,Probable case death,0,0.00
2,93,0,0,0,2021-06-19 00:00:00,6/19/21,Wisconsin,6/6/2021,6/20/2021,Probable case death,0,0.00
3,93,0,0,0,2021-06-18 00:00:00,6/18/21,Wisconsin,6/5/2021,6/19/2021,Probable case death,0,0.00
4,93,1,1,0,2021-06-17 00:00:00,6/17/21,Wisconsin,6/4/2021,6/18/2021,Probable case death,0,0.00
5,93,0,0,0,2021-06-16 00:00:00,6/16/21,Wisconsin,6/3/2021,6/17/2021,Probable case death,0,0.00
6,93,0,0,0,2021-06-15 00:00:00,6/15/21,Wisconsin,6/2/2021,6/16/2021,Probable case death,0,0.00
7,93,2,2,0,2021-06-14 00:00:00,6/14/21,Wisconsin,6/1/2021,6/15/2021,Probable case death,0,0.00
8,93,0,0,0,2021-06-13 00:00:00,6/13/21,Wisconsin,5/31/2021,6/14/2021,Probable case death,0,0.00
9,93,3,3,0,2021-06-12 00:00:00,6/12/21,Wisconsin,5/30/2021,6/13/2021,Probable case death,0,0.00
10,93,0,0,0,2021-06-11 00:00:00,6/11/21,Wisconsin,5/29/2021,6/12/2021,Probable case death,0,0.00
11,93,0,0,0,2021-06-10 00:00:00,6/10/21,Wisconsin,5/28/2021,6/11/2021,Probable case death,0,0.00
12,93,4,4,0,2021-06-09 00:00:00,6/9/21,Wisconsin,5/27/2021,6/10/2021,Probable case death,0,0.00
13,93,0,0,0,2021-06-08 00:00:00,6/8/21,Wisconsin,5/26/2021,6/9/2021,Probable case death,0,0.00
14,93,0,0,0,2021-06-07 00:00:00,6/7/21,Wisconsin,5/25/2021,6/8/2021,Probable case death,0,0.00
15,93,2,1,1,2021-06-06 00:00:00,6/6/21,Wisconsin,5/24/2021,6/7/2021,Probable case death,1,1.00
16,93,1,0,1,2021-06-05 00:00:00,6/5/21,Wisconsin,5/23/2021,6/6/2021,Probable case death,1,1.00
17,93,0,0,0,2021-06-04 00:00:00,6/4/21,Wisconsin,5/22/2021,6/5/2021,Probable case death,0,0.00
18,93,1,1,0,2021-06-03 00:00:00,6/3/21,Wisconsin,5/21/2021,6/4/2021,Probable case death,0,0.00
19,93,3,1,2,2021-06-02 00:00:00,6/2/21,Wisconsin,5/20/2021,6/3/2021,Probable case death,2,2.00
