,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
0,93,1,1,0,2021-08-18 00:00:00,8/18,Wisconsin,8/5/2021,8/19/2021,Probable case death,0,0.00
1,93,1,1,0,2021-08-17 00:00:00,8/17,Wisconsin,8/4/2021,8/18/2021,Probable case death,0,0.00
2,93,0,0,0,2021-08-16 00:00:00,8/16,Wisconsin,8/3/2021,8/17/2021,Probable case death,0,0.00
3,93,8,7,1,2021-08-15 00:00:00,8/15,Wisconsin,8/2/2021,8/16/2021,Probable case death,1,1.00
4,93,2,2,0,2021-08-14 00:00:00,8/14,Wisconsin,8/1/2021,8/15/2021,Probable case death,0,0.00
5,93,2,2,0,2021-08-13 00:00:00,8/13,Wisconsin,7/31/2021,8/14/2021,Probable case death,0,0.00
6,93,3,2,1,2021-08-12 00:00:00,8/12,Wisconsin,7/30/2021,8/13/2021,Probable case death,1,1.00
7,93,4,4,0,2021-08-11 00:00:00,8/11,Wisconsin,7/29/2021,8/12/2021,Probable case death,0,0.00
8,93,5,5,0,2021-08-10 00:00:00,8/10,Wisconsin,7/28/2021,8/11/2021,Probable case death,0,0.00
9,93,7,7,0,2021-08-09 00:00:00,8/09,Wisconsin,7/27/2021,8/10/2021,Probable case death,0,0.00
10,93,3,3,0,2021-08-08 00:00:00,8/08,Wisconsin,7/26/2021,8/9/2021,Probable case death,0,0.00
11,93,6,6,0,2021-08-07 00:00:00,8/07,Wisconsin,7/25/2021,8/8/2021,Probable case death,0,0.00
12,93,2,2,0,2021-08-06 00:00:00,8/06,Wisconsin,7/24/2021,8/7/2021,Probable case death,0,0.00
13,93,2,2,0,2021-08-05 00:00:00,8/05,Wisconsin,7/23/2021,8/6/2021,Probable case death,0,0.00
14,93,2,2,0,2021-08-04 00:00:00,8/04,Wisconsin,7/22/2021,8/5/2021,Probable case death,0,0.00
15,93,2,2,0,2021-08-03 00:00:00,8/03,Wisconsin,7/21/2021,8/4/2021,Probable case death,0,0.00
16,93,4,4,0,2021-08-02 00:00:00,8/02,Wisconsin,7/20/2021,8/3/2021,Probable case death,0,0.00
17,93,3,3,0,2021-08-01 00:00:00,8/01,Wisconsin,7/19/2021,8/2/2021,Probable case death,0,0.00
18,93,0,0,0,2021-07-31 00:00:00,7/31,Wisconsin,7/18/2021,8/1/2021,Probable case death,0,0.00
19,93,0,0,0,2021-07-30 00:00:00,7/30,Wisconsin,7/17/2021,7/31/2021,Probable case death,0,0.00
