,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
0,93,0,0,0,2021-07-01 00:00:00,7/01,Wisconsin,6/18/2021,7/2/2021,Probable case death,0,0.00
1,93,0,0,0,2021-06-30 00:00:00,6/30,Wisconsin,6/17/2021,7/1/2021,Probable case death,0,0.00
2,93,0,0,0,2021-06-29 00:00:00,6/29,Wisconsin,6/16/2021,6/30/2021,Probable case death,0,0.00
3,93,0,0,0,2021-06-28 00:00:00,6/28,Wisconsin,6/15/2021,6/29/2021,Probable case death,0,0.00
4,93,0,0,0,2021-06-27 00:00:00,6/27,Wisconsin,6/14/2021,6/28/2021,Probable case death,0,0.00
5,93,0,0,0,2021-06-26 00:00:00,6/26,Wisconsin,6/13/2021,6/27/2021,Probable case death,0,0.00
6,93,0,0,0,2021-06-25 00:00:00,6/25,Wisconsin,6/12/2021,6/26/2021,Probable case death,0,0.00
7,93,0,0,0,2021-06-24 00:00:00,6/24,Wisconsin,6/11/2021,6/25/2021,Probable case death,0,0.00
8,93,1,1,0,2021-06-23 00:00:00,6/23,Wisconsin,6/10/2021,6/24/2021,Probable case death,0,0.00
9,93,1,1,0,2021-06-22 00:00:00,6/22,Wisconsin,6/9/2021,6/23/2021,Probable case death,0,0.00
10,93,0,0,0,2021-06-21 00:00:00,6/21,Wisconsin,6/8/2021,6/22/2021,Probable case death,0,0.00
11,93,1,1,0,2021-06-20 00:00:00,6/20,Wisconsin,6/7/2021,6/21/2021,Probable case death,0,0.00
12,93,1,1,0,2021-06-19 00:00:00,6/19,Wisconsin,6/6/2021,6/20/2021,Probable case death,0,0.00
13,93,0,0,0,2021-06-18 00:00:00,6/18,Wisconsin,6/5/2021,6/19/2021,Probable case death,0,0.00
14,93,1,1,0,2021-06-17 00:00:00,6/17,Wisconsin,6/4/2021,6/18/2021,Probable case death,0,0.00
15,93,0,0,0,2021-06-16 00:00:00,6/16,Wisconsin,6/3/2021,6/17/2021,Probable case death,0,0.00
16,93,0,0,0,2021-06-15 00:00:00,6/15,Wisconsin,6/2/2021,6/16/2021,Probable case death,0,0.00
17,93,2,2,0,2021-06-14 00:00:00,6/14,Wisconsin,6/1/2021,6/15/2021,Probable case death,0,0.00
18,93,0,0,0,2021-06-13 00:00:00,6/13,Wisconsin,5/31/2021,6/14/2021,Probable case death,0,0.00
19,93,3,3,0,2021-06-12 00:00:00,6/12,Wisconsin,5/30/2021,6/13/2021,Probable case death,0,0.00
20,93,1,1,0,2021-06-11 00:00:00,6/11,Wisconsin,5/29/2021,6/12/2021,Probable case death,0,0.00
21,93,1,1,0,2021-06-10 00:00:00,6/10,Wisconsin,5/28/2021,6/11/2021,Probable case death,0,0.00
22,93,4,4,0,2021-06-09 00:00:00,6/09,Wisconsin,5/27/2021,6/10/2021,Probable case death,0,0.00
23,93,0,0,0,2021-06-08 00:00:00,6/08,Wisconsin,5/26/2021,6/9/2021,Probable case death,0,0.00
24,93,0,0,0,2021-06-07 00:00:00,6/07,Wisconsin,5/25/2021,6/8/2021,Probable case death,0,0.00
25,93,2,1,1,2021-06-06 00:00:00,6/06,Wisconsin,5/24/2021,6/7/2021,Probable case death,1,1.00
26,93,2,1,1,2021-06-05 00:00:00,6/05,Wisconsin,5/23/2021,6/6/2021,Probable case death,1,1.00
27,93,2,2,0,2021-06-04 00:00:00,6/04,Wisconsin,5/22/2021,6/5/2021,Probable case death,0,0.00
28,93,3,3,0,2021-06-03 00:00:00,6/03,Wisconsin,5/21/2021,6/4/2021,Probable case death,0,0.00
29,93,4,2,2,2021-06-02 00:00:00,6/02,Wisconsin,5/20/2021,6/3/2021,Probable case death,2,2.00
30,93,2,2,0,2021-06-01 00:00:00,6/01,Wisconsin,5/19/2021,6/2/2021,Probable case death,0,0.00
31,93,4,4,0,2021-05-31 00:00:00,5/31,Wisconsin,5/18/2021,6/1/2021,Probable case death,0,0.00
32,93,2,2,0,2021-05-30 00:00:00,5/30,Wisconsin,5/17/2021,5/31/2021,Probable case death,0,0.00
33,93,2,2,0,2021-05-29 00:00:00,5/29,Wisconsin,5/16/2021,5/30/2021,Probable case death,0,0.00
34,93,4,4,0,2021-05-28 00:00:00,5/28,Wisconsin,5/15/2021,5/29/2021,Probable case death,0,0.00
35,93,2,1,1,2021-05-27 00:00:00,5/27,Wisconsin,5/14/2021,5/28/2021,Probable case death,1,1.00
36,93,3,3,0,2021-05-26 00:00:00,5/26,Wisconsin,5/13/2021,5/27/2021,Probable case death,0,0.00
37,93,4,4,0,2021-05-25 00:00:00,5/25,Wisconsin,5/12/2021,5/26/2021,Probable case death,0,0.00
38,93,4,4,0,2021-05-24 00:00:00,5/24,Wisconsin,5/11/2021,5/25/2021,Probable case death,0,0.00
39,93,2,2,0,2021-05-23 00:00:00,5/23,Wisconsin,5/10/2021,5/24/2021,Probable case death,0,0.00
40,93,5,5,0,2021-05-22 00:00:00,5/22,Wisconsin,5/9/2021,5/23/2021,Probable case death,0,0.00
41,93,4,4,0,2021-05-21 00:00:00,5/21,Wisconsin,5/8/2021,5/22/2021,Probable case death,0,0.00
42,93,3,2,1,2021-05-20 00:00:00,5/20,Wisconsin,5/7/2021,5/21/2021,Probable case death,1,1.00
43,93,3,3,0,2021-05-19 00:00:00,5/19,Wisconsin,5/6/2021,5/20/2021,Probable case death,0,0.00
44,93,4,4,0,2021-05-18 00:00:00,5/18,Wisconsin,5/5/2021,5/19/2021,Probable case death,0,0.00
45,93,1,1,0,2021-05-17 00:00:00,5/17,Wisconsin,5/4/2021,5/18/2021,Probable case death,0,0.00
46,93,6,6,0,2021-05-16 00:00:00,5/16,Wisconsin,5/3/2021,5/17/2021,Probable case death,0,0.00
47,93,5,4,1,2021-05-15 00:00:00,5/15,Wisconsin,5/2/2021,5/16/2021,Probable case death,1,1.00
48,93,4,4,0,2021-05-14 00:00:00,5/14,Wisconsin,5/1/2021,5/15/2021,Probable case death,0,0.00
49,93,6,6,0,2021-05-13 00:00:00,5/13,Wisconsin,4/30/2021,5/14/2021,Probable case death,0,0.00
50,93,5,4,1,2021-05-12 00:00:00,5/12,Wisconsin,4/29/2021,5/13/2021,Probable case death,1,1.00
51,93,5,5,0,2021-05-11 00:00:00,5/11,Wisconsin,4/28/2021,5/12/2021,Probable case death,0,0.00
52,93,4,4,0,2021-05-10 00:00:00,5/10,Wisconsin,4/27/2021,5/11/2021,Probable case death,0,0.00
53,93,7,7,0,2021-05-09 00:00:00,5/09,Wisconsin,4/26/2021,5/10/2021,Probable case death,0,0.00
54,93,4,4,0,2021-05-08 00:00:00,5/08,Wisconsin,4/25/2021,5/9/2021,Probable case death,0,0.00
55,93,3,3,0,2021-05-07 00:00:00,5/07,Wisconsin,4/24/2021,5/8/2021,Probable case death,0,0.00
56,93,2,2,0,2021-05-06 00:00:00,5/06,Wisconsin,4/23/2021,5/7/2021,Probable case death,0,0.00
57,93,4,4,0,2021-05-05 00:00:00,5/05,Wisconsin,4/22/2021,5/6/2021,Probable case death,0,0.00
58,93,5,3,2,2021-05-04 00:00:00,5/04,Wisconsin,4/21/2021,5/5/2021,Probable case death,2,2.00
59,93,8,8,0,2021-05-03 00:00:00,5/03,Wisconsin,4/20/2021,5/4/2021,Probable case death,0,0.00
60,93,6,6,0,2021-05-02 00:00:00,5/02,Wisconsin,4/19/2021,5/3/2021,Probable case death,0,0.00
61,93,9,9,0,2021-05-01 00:00:00,5/01,Wisconsin,4/18/2021,5/2/2021,Probable case death,0,0.00
62,93,6,5,1,2021-04-30 00:00:00,4/30,Wisconsin,4/17/2021,5/1/2021,Probable case death,1,1.00
63,93,4,3,1,2021-04-29 00:00:00,4/29,Wisconsin,4/16/2021,4/30/2021,Probable case death,1,1.00
64,93,4,4,0,2021-04-28 00:00:00,4/28,Wisconsin,4/15/2021,4/29/2021,Probable case death,0,0.00
65,93,8,7,1,2021-04-27 00:00:00,4/27,Wisconsin,4/14/2021,4/28/2021,Probable case death,1,1.00
66,93,7,7,0,2021-04-26 00:00:00,4/26,Wisconsin,4/13/2021,4/27/2021,Probable case death,0,0.00
67,93,4,3,1,2021-04-25 00:00:00,4/25,Wisconsin,4/12/2021,4/26/2021,Probable case death,1,1.00
68,93,4,4,0,2021-04-24 00:00:00,4/24,Wisconsin,4/11/2021,4/25/2021,Probable case death,0,0.00
69,93,6,6,0,2021-04-23 00:00:00,4/23,Wisconsin,4/10/2021,4/24/2021,Probable case death,0,0.00
70,93,6,5,1,2021-04-22 00:00:00,4/22,Wisconsin,4/9/2021,4/23/2021,Probable case death,1,1.00
71,93,7,7,0,2021-04-21 00:00:00,4/21,Wisconsin,4/8/2021,4/22/2021,Probable case death,0,0.00
72,93,7,6,1,2021-04-20 00:00:00,4/20,Wisconsin,4/7/2021,4/21/2021,Probable case death,1,1.00
