Virus name,Accession ID,Collection date
hCoV-19/USA/WI-WSLH-211525/2021,EPI_ISL_1295341,2021-02-24
hCoV-19/USA/WI-WSLH-211526/2021,EPI_ISL_1295342,2021-02-24
hCoV-19/USA/WI-WSLH-211527/2021,EPI_ISL_1295343,2021-02-24
hCoV-19/USA/WI-WSLH-211528/2021,EPI_ISL_1295344,2021-02-24
hCoV-19/USA/WI-WSLH-211529/2021,EPI_ISL_1295345,2021-02-23
hCoV-19/USA/WI-WSLH-211530/2021,EPI_ISL_1295346,2021-02-26
hCoV-19/USA/WI-WSLH-211531/2021,EPI_ISL_1295347,2021-03-01
hCoV-19/USA/WI-WSLH-211532/2021,EPI_ISL_1295348,2021-03-01
hCoV-19/USA/WI-WSLH-211533/2020,EPI_ISL_1295349,2020-12-16
hCoV-19/USA/WI-WSLH-211534/2020,EPI_ISL_1295350,2020-12-16
hCoV-19/USA/WI-WSLH-211535/2020,EPI_ISL_1295351,2020-12-16
hCoV-19/USA/WI-WSLH-211536/2020,EPI_ISL_1295352,2020-12-16
hCoV-19/USA/WI-WSLH-211537/2020,EPI_ISL_1295353,2020-12-16
hCoV-19/USA/WI-WSLH-211538/2020,EPI_ISL_1295354,2020-12-16
hCoV-19/USA/WI-WSLH-211539/2020,EPI_ISL_1295355,2020-12-16
hCoV-19/USA/WI-WSLH-211540/2020,EPI_ISL_1295356,2020-12-16
hCoV-19/USA/WI-WSLH-211541/2021,EPI_ISL_1295357,2021-02-18
hCoV-19/USA/WI-WSLH-211542/2021,EPI_ISL_1295358,2021-02-22
hCoV-19/USA/WI-WSLH-211543/2021,EPI_ISL_1295359,2021-02-22
hCoV-19/USA/WI-WSLH-211544/2021,EPI_ISL_1295360,2021-02-22
hCoV-19/USA/WI-WSLH-211545/2021,EPI_ISL_1295361,2021-02-22
hCoV-19/USA/WI-WSLH-211546/2021,EPI_ISL_1295362,2021-02-22
hCoV-19/USA/WI-WSLH-211547/2021,EPI_ISL_1295363,2021-02-22
hCoV-19/USA/WI-WSLH-211548/2021,EPI_ISL_1295364,2021-02-19
hCoV-19/USA/WI-WSLH-211549/2021,EPI_ISL_1295365,2021-02-24
hCoV-19/USA/WI-WSLH-211550/2021,EPI_ISL_1295366,2021-02-24
hCoV-19/USA/WI-WSLH-211551/2021,EPI_ISL_1295367,2021-02-22
hCoV-19/USA/WI-WSLH-211552/2021,EPI_ISL_1295368,2021-02-22
hCoV-19/USA/WI-WSLH-211553/2021,EPI_ISL_1295369,2021-02-22
hCoV-19/USA/WI-WSLH-212142/2021,EPI_ISL_1421501,2021-03-09
hCoV-19/USA/WI-WSLH-212143/2021,EPI_ISL_1421502,2021-03-09
hCoV-19/USA/WI-WSLH-212144/2021,EPI_ISL_1421504,2021-03-11
hCoV-19/USA/WI-WSLH-212145/2021,EPI_ISL_1421505,2021-03-11
hCoV-19/USA/WI-WSLH-212146/2021,EPI_ISL_1421507,2021-03-10
hCoV-19/USA/WI-WSLH-212147/2021,EPI_ISL_1421508,2021-03-11
hCoV-19/USA/WI-WSLH-212149/2021,EPI_ISL_1421510,2021-03-07
hCoV-19/USA/WI-WSLH-212150/2021,EPI_ISL_1421512,2021-03-06
hCoV-19/USA/WI-WSLH-212151/2021,EPI_ISL_1421513,2021-03-04
hCoV-19/USA/WI-WSLH-212152/2021,EPI_ISL_1421515,2021-03-04
hCoV-19/USA/WI-WSLH-212153/2021,EPI_ISL_1421516,2021-03-05
hCoV-19/USA/WI-WSLH-212154/2021,EPI_ISL_1421518,2021-03-05
hCoV-19/USA/WI-WSLH-212155/2021,EPI_ISL_1421519,2021-03-07
hCoV-19/USA/WI-WSLH-212156/2021,EPI_ISL_1421520,2021-03-07
hCoV-19/USA/WI-WSLH-212157/2021,EPI_ISL_1421522,2021-03-12
hCoV-19/USA/WI-WSLH-212158/2021,EPI_ISL_1421524,2021-03-12
hCoV-19/USA/WI-WSLH-212159/2021,EPI_ISL_1421525,2021-03-14
hCoV-19/USA/WI-WSLH-212160/2021,EPI_ISL_1421527,2021-03-09
hCoV-19/USA/WI-WSLH-212161/2021,EPI_ISL_1421528,2021-03-09
hCoV-19/USA/WI-WSLH-212162/2021,EPI_ISL_1421530,2021-03-11
hCoV-19/USA/WI-WSLH-212163/2021,EPI_ISL_1421531,2021-03-11
hCoV-19/USA/WI-WSLH-212164/2021,EPI_ISL_1421533,2021-03-09
hCoV-19/USA/WI-WSLH-212165/2021,EPI_ISL_1421534,2021-03-08
