State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Maryland,14757030,244092,313247,11358964,187886,10133657,215107,5100337,84.4,4487027,95,4438528,73.4,3916860,83.1,9187910,4969120,600000,0,357648,4122809,6862418,16089,1487826,2624667,321957,4078,1487200,2104309,321590,3761,N/A,84.4,N/A,95,70.5,3741069,79.4,5100337,991934,95,893697,93.2,426964,410771,54844,1118,2501946,260783,1538160,4868551,94.3,4251815,82.4,1487736,2438265,321795,4019,10939334,211884,285829,5099608,89.7,4438408,78.1,1487792,2624621,321919,4076,11358119,199835,259636,2121886,47.8,2121415,49.9,2034519,51.9,651354,72.9,900146,1187505,33673,562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maine,3137850,233434,286465,2680563,199415,2453844,224020,1195872,89,1085185,95,1048427,78,950133,86.7,1762230,1223720,151900,0,142154,1093245,1441930,3234,377738,539027,130936,726,377658,440958,130856,661,N/A,89,N/A,95,71.9,868900,79.3,1195872,322848,95,280080,95,127542,127697,24589,252,795032,278699,1099980,1152041,95,1010677,85.3,377718,501323,130914,722,2598912,219329,264812,1195731,93.4,1048394,81.9,377731,539020,130917,726,2680409,209297,245015,555059,52.9,555001,54.9,538283,56.7,209533,74.8,257521,286561,10404,573,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marshall Islands,81080,104295,170591,52349,67338,47334,99590,27872,35.9,24781,52.1,23655,30.4,21894,46.1,15780,52700,12600,0,2650,44572,5125,2,19208,1823,2622,2,19172,107,2613,2,N/A,35.9,N/A,52.1,27.2,19355,40.7,27872,1415,37.9,1243,33.3,1127,1,115,0,2851,76393,2172560,26901,46.9,23409,40.8,19200,1588,2619,2,51126,89118,141331,27858,40.3,23647,34.2,19203,1821,2621,2,52328,75621,117171,3099,13.1,3099,13.2,3096,14.1,300,24.1,3062,20,17,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan,19594210,196200,249833,14964584,149843,13749924,175316,6562232,65.7,5954866,75.9,5873500,58.8,5344487,68.1,11060390,7609620,924200,0,458654,5846658,8657199,2073,2133831,3322534,416068,1067,2133038,2794729,415743,977,N/A,65.7,N/A,75.9,56.2,5086541,64.9,6562232,1686888,95,1537233,87.1,768002,697841,70802,588,4270648,241908,1109900,6338505,73.7,5688778,66.2,2133768,3137910,416039,1061,14557211,169368,227972,6561747,69.7,5873440,62.3,2133809,3322511,416054,1066,14964067,158847,207997,2946479,50.2,2946228,51.8,2870199,53.7,1128573,73.4,1293208,1607283,45888,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Minnesota,11777070,208827,271582,9812047,173984,8796367,202846,4176257,74.1,3675481,84.8,3818373,67.7,3376358,77.9,7156410,4120960,499700,0,353227,3570320,5884551,3949,1285568,2205685,325704,1416,1283241,1766590,325169,1358,N/A,74.1,N/A,84.8,64.9,3217882,74.2,4176257,936841,95,876417,95,368911,456700,50463,343,2483403,269823,1279590,3962403,82.9,3644516,76.3,1285516,2031914,325686,1400,9425815,197272,246481,4174460,78.9,3817884,72.2,1285560,2205223,325689,1412,9809783,185510,222713,2107288,55.2,2107063,57.8,2034608,60.3,706274,80.6,851480,1227499,28006,303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missouri,10797205,175924,226506,8563710,139533,7880497,165319,3987330,65,3624960,76,3357952,54.7,3068373,64.4,6385105,3991700,420400,0,245593,3099189,5216618,2310,1146399,1976784,234095,674,1145904,1688167,233831,471,N/A,65,N/A,76,52.1,2907232,61,3987330,1010014,95,881805,83,401782,439970,39889,164,2453248,230995,1016650,3862145,73.8,3268409,62.4,1146380,1887313,234064,652,8349162,159466,206222,3986984,69.1,3357910,58.2,1146386,1976774,234079,671,8563361,148429,187148,1346815,40.1,1346693,41.2,1314569,42.8,559034,63.4,552299,777960,16496,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Mariana Islands,120630,232647,334387,104351,201252,85093,235878,44862,86.5,35188,95,42423,81.8,33659,93.3,92010,25020,3600,0,1302,14334,88715,0,5147,36145,1131,0,5146,27382,1131,0,N/A,86.5,N/A,95,80.2,32838,91,44862,3182,84.8,3078,82,496,2465,117,0,8290,220831,3213370,40530,95,38707,91.5,5147,32429,1131,0,96299,227711,285245,44858,93.3,42423,88.2,5147,36145,1131,0,104347,216929,250780,18185,42.9,18184,47,17359,51.6,2151,69.9,3645,14366,174,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mississippi,5147215,172949,225996,3718417,124941,3451263,151533,1740296,58.5,1593817,70,1503962,50.5,1388316,61,2896655,2028060,222500,0,90518,1498616,2126780,2503,576229,842703,84103,927,575877,727539,84005,895,N/A,58.5,N/A,70,48.5,1327127,58.3,1740296,442747,91,404556,83.1,205331,181152,17636,437,1091446,224258,1057590,1702917,67.5,1477926,58.6,576214,816698,84087,927,3654599,144942,204139,1740139,62.3,1503931,53.9,576221,842691,84092,927,3718244,133143,184312,529839,35.2,529784,35.8,522156,37.6,242318,59.9,248560,273072,7768,439,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Montana,1857155,173764,221040,1520263,142243,1405158,167243,685626,64.2,624856,74.4,594211,55.6,545248,64.9,993995,759160,104000,0,59643,641251,817366,2003,233860,305783,54102,466,233721,257043,54028,456,N/A,64.2,N/A,74.4,52,506775,60.3,685626,195000,94.5,175418,85,84266,80915,10019,218,487991,236387,899623,663707,72.3,578223,63,233837,289826,54095,465,1482316,161543,202393,685504,68,594182,59,233844,305775,54097,466,1520103,150860,184311,271236,45.6,271209,46.9,265990,48.8,119252,68,128182,137920,4811,323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,20456000,195040,249848,15942482,152006,14549217,177703,8575756,81.8,7807227,95,6184644,59,5611778,68.5,11950240,7590060,915700,0,505255,5942760,9493542,925,2148566,3559538,476393,147,2145440,2991255,474941,142,N/A,81.8,N/A,95,55.3,5223810,63.8,8575756,2151964,95,1497525,85.5,719764,723438,54258,65,4228590,241483,1168180,8313078,92.5,5998857,66.8,2148454,3373890,476367,146,15485936,172343,227655,8573931,86.8,6184143,62.6,2148523,3559098,476376,146,15940197,161366,207080,1530281,24.7,1530177,25.5,1487969,26.5,575707,38.4,674071,829432,26759,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,1303360,171031,223987,1057589,138780,973597,167316,489701,64.3,446670,76.8,413221,54.2,378355,65,755780,495280,52300,0,39293,400041,617932,323,144121,232820,36271,9,143909,198317,36120,9,N/A,64.3,N/A,76.8,50.9,352865,60.6,489701,120420,95,101990,85.1,48037,49585,4365,3,290548,242436,1087540,473126,74.2,400737,62.9,144115,220348,36265,9,1025513,160929,204530,489536,69.1,413185,58.4,144117,232792,36267,9,1057383,149356,184101,165576,40.1,165567,41.3,163878,43.3,68929,67.6,75097,88010,2462,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nebraska,3703790,191469,253974,3045919,157460,2753664,188823,1336171,69.1,1187927,81.5,1200777,62.1,1073758,73.6,2269630,1284860,149300,0,92604,1099081,1848275,5959,410277,701782,87182,1536,410072,575135,87094,1457,N/A,69.1,N/A,81.5,59.4,1021888,70.1,1336171,306404,95,284387,91,138261,138296,6928,902,813491,260352,1185370,1282158,79.3,1157997,71.6,410240,659073,87160,1524,2948746,182313,228995,1335903,74.1,1200720,66.6,410256,701761,87167,1536,3045585,168868,205364,572011,47.6,571936,49.4,554076,51.6,209314,73.6,224517,340845,6328,321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Hampshire,3198730,235251,289620,2599606,191188,2374889,215028,1454163,95,1336913,95,943124,69.4,862479,78.1,1902290,1124140,172300,0,113587,969600,1516326,93,340124,518981,83922,97,339860,438664,83864,91,N/A,95,N/A,95,64.3,793128,71.8,1454163,413380,95,236761,93.3,97893,121455,17372,41,693702,273257,1260020,1414190,95,918227,76.6,340017,494218,83895,97,2534685,211476,266879,1453192,95,942902,72.7,340019,518890,83896,97,2598385,200479,246798,191147,20.3,191130,20.8,184214,21.4,55880,23.6,88096,98586,4453,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey,20528475,231120,295645,16350427,184081,14719968,211993,7850872,88.4,7005193,95,6547044,73.7,5840133,84.1,12330075,7259500,938900,0,559687,6179617,9609213,1910,2269095,3769556,507524,869,2268330,3063813,507163,827,N/A,88.4,N/A,95,69.9,5506412,79.3,7850872,1592670,95,1340906,90.9,623471,624549,92666,220,3662751,248232,1391260,7550426,95,6311632,82.8,2269018,3534336,507423,855,15822119,207684,269460,7849691,93.8,6546915,78.2,2269062,3769523,507462,868,16349225,195390,245336,2869237,43.8,2868767,45.5,2766157,47.4,875611,65.3,1238272,1571620,59296,49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,4181585,199424,257965,3713407,177096,3342237,206185,1789696,85.4,1581362,95,1448371,69.1,1286735,79.4,2383645,1611840,186100,0,115893,1510693,2078654,8167,551090,787364,107788,2129,550656,626355,107630,2094,N/A,85.4,N/A,95,65.7,1216512,75,1789696,417742,95,348220,92.2,163265,162682,21211,1062,956947,253425,1107390,1714993,95,1396760,78.1,551046,735818,107770,2126,3594264,201085,233944,1789483,90.6,1448318,73.3,551074,787337,107779,2128,3713173,187929,211635,681967,47.1,681843,48.8,655836,51,233476,67,287619,384156,10047,145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,5565390,180685,233104,4655524,151146,4273042,178974,2267123,73.6,2058714,86.2,1821978,59.2,1665030,69.7,3424910,1882380,258100,0,182785,1605602,2866614,523,593927,1057481,170515,55,593819,900691,170467,53,N/A,73.6,N/A,86.2,54.9,1535558,64.3,2267123,496204,95,409102,82.5,188211,194865,25996,30,1141645,230183,1122120,2207627,84.2,1779554,67.9,593921,1015067,170511,55,4552469,173639,212273,2267045,78.3,1821964,62.9,593922,1057475,170512,55,4655434,160833,192269,666938,36.6,666910,37.5,651866,39.2,248691,60.8,276141,379230,11567,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York State,43031705,221202,278969,37337094,191929,34001158,220425,17187422,88.4,15479681,95,14585013,75,13138032,85.2,26224145,14958160,1849400,0,1404182,13542521,22371744,18647,4910831,8431517,1237565,5100,4908029,6989066,1236447,4490,N/A,88.4,N/A,95,70.7,12299158,79.7,17187422,3434903,95,2956119,89.7,1394491,1373618,186254,1756,8275825,251076,1305520,16565518,95,14088271,84,4910174,7935830,1237364,4903,36217941,215927,256550,17185276,93.8,14584562,79.6,4910710,8431326,1237454,5072,37334395,203717,234805,6181369,42.4,6180270,43.9,5996705,45.6,1937055,65.5,2679646,3395533,105817,373,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,21554495,184398,236575,17083928,146153,15728378,172629,7321633,62.6,6648731,73,6695713,57.3,6107554,67,12592415,7995280,966800,0,615111,6506329,9942723,19765,2360696,3784486,545345,5186,2360071,3197335,545088,5060,N/A,62.6,N/A,73,54.4,5767723,63.3,7321633,1885747,92.2,1778137,86.9,802424,882135,91072,2506,4961741,242471,1053330,7077589,70.8,6492277,64.9,2360675,3581092,545332,5178,16630960,166298,215530,7321275,66.6,6695681,60.9,2360688,3784469,545338,5186,17083561,155330,195981,3339818,49.9,3339233,51.4,3254654,53.3,1294230,72.8,1430031,1852606,56562,619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oklahoma,6850710,173130,227997,5664114,143143,5218312,173670,2756280,69.7,2516151,83.7,2202347,55.7,2011936,67,3721750,2807660,321300,0,149982,2292779,3219986,1367,837265,1223528,141306,248,836974,1033542,141212,208,N/A,69.7,N/A,83.7,52.9,1902835,63.3,2756280,672405,95,542040,85.3,274956,246439,20592,53,1533589,241460,1078630,2686355,80.8,2151428,64.7,837241,1172660,141288,239,5542990,166695,206023,2756010,74.5,2202298,59.5,837247,1223512,141291,248,5663806,153016,185082,788500,35.8,788460,36.6,772921,38.4,331155,61.1,364032,413294,11137,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oregon,9383845,222485,280017,7376988,174904,6707929,200166,3232394,76.6,2898749,86.5,2882205,68.3,2601717,77.6,5429725,3494520,459600,0,271033,2748943,4342254,14758,989608,1642995,244541,5061,986684,1366538,243701,4794,N/A,76.6,N/A,86.5,64.6,2443894,72.9,3232394,748476,95,688610,89.9,311014,323918,52359,1319,1904278,248574,1224920,3103681,85.1,2784924,76.3,989604,1545733,244538,5049,7148515,195970,257249,3231525,81,2882001,72.2,989607,1642794,244540,5060,7375919,184864,235188,1451456,50.4,1451333,52.1,1400802,53.8,508281,73.8,620431,808062,22509,454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,28204425,220313,277401,21879282,170905,20020985,196914,10604382,82.8,9638154,94.8,8512926,66.5,7741051,76.1,16166465,10536960,1501000,0,760532,8458103,12659295,1352,3066332,4736133,709824,637,3063929,3967255,709279,588,N/A,82.8,N/A,94.8,62.4,7215980,71,10604382,2675742,95,2202689,92,1035670,1077248,89483,288,6162249,257473,1178440,10250762,92.5,8240989,74.4,3066050,4464566,709738,635,21242833,191696,254517,10602298,87.6,8512371,70.3,3066206,4735758,709771,636,21876686,180738,233016,3451959,40.5,3451518,41.9,3352264,43.3,1361055,61.8,1521856,1872938,57113,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Rico,7211170,225794,275134,6770469,211995,5999927,228921,3017080,94.5,2637046,95,2573615,80.6,2262405,86.3,4479930,2517640,213600,0,150641,2611983,4007242,603,944303,1490113,139063,136,943862,1179573,138883,87,N/A,94.5,N/A,95,78.2,2186366,83.4,3017080,700204,95,595559,87.6,295433,276469,23639,18,1651147,242939,1061000,2861551,95,2457861,86.3,944229,1374494,139011,127,6497287,228112,253175,3016184,95,2573406,83.7,944247,1490004,139019,136,6769399,220056,234417,1266585,49.2,1266367,51.5,1189593,52.6,365685,61.4,514748,741649,10174,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Republic of Palau,43990,204301,265272,45773,212581,40338,243249,20114,93.4,17345,95,17589,81.7,15411,92.9,11690,28500,3800,0,2346,35485,7874,68,12455,2750,2351,33,12455,572,2351,33,N/A,93.4,N/A,95,76.7,14346,86.5,20114,1853,93,1770,88.9,1508,33,227,2,4778,239859,2208330,18844,95,16793,90.1,12455,1954,2351,33,43710,234433,235935,20112,95,17588,86.3,12455,2749,2351,33,45770,224660,215923,10728,61,10728,63.9,10231,66.4,1443,81.5,10075,653,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,2454565,231702,287129,2109142,199096,1918303,224398,1010900,95,903410,95,846587,79.9,755328,88.4,1445525,921640,87400,0,64388,803679,1239554,1521,285854,500485,59880,368,285728,409382,59853,365,N/A,95,N/A,95,76.9,723420,84.6,1010900,214602,95,184990,95,82928,95175,6754,133,525027,280694,1312280,969015,95,812298,87.6,285842,466210,59879,367,2045097,220498,264646,1010786,95,846573,84.2,285850,500477,59879,367,2109034,209888,244274,428622,50.6,428510,52.8,414504,54.9,139894,75.6,185662,238089,4837,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Carolina,9754755,189460,241602,7165646,139174,6650597,164719,3403825,66.1,3122860,77.3,2851645,55.4,2627217,65.1,5351935,3953820,449000,0,225438,2803558,4134511,2139,1027737,1619147,204392,369,1025616,1397458,203783,360,N/A,66.1,N/A,77.3,52.6,2482875,61.5,3403825,944692,95,804980,85.9,344031,429596,31142,211,2220630,236988,1041040,3315887,75,2788461,63.1,1027592,1556156,204346,367,7017551,158769,220697,3402248,70.1,2850993,58.7,1027662,1618616,204348,367,7163384,147509,200870,1075482,37.7,1075378,38.6,1054783,40.1,488867,60.7,462784,591024,21197,477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
