State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Hawaii,3267320,230764,292770,2762143,195084,2483266,222514,1214357,85.8,1073164,95,1085411,76.7,964184,86.4,1953960,1189060,124300,0,68995,1007472,1685398,278,360058,661015,64324,14,359182,540871,64117,14,N/A,85.8,N/A,95,73.8,923304,82.7,1214357,267288,95,244349,91,107152,125519,11674,4,689381,256802,1217120,1159380,95,1042230,86.1,360004,617917,64295,14,2665516,220089,269779,1213067,91.2,1085167,81.6,360010,660846,64297,14,2761300,207515,245543,526371,48.5,526316,50.5,506589,52.5,185810,76,235617,285036,5717,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6138475,194559,252796,4886063,154864,4475636,184317,2113723,67,1907765,78.6,1917041,60.8,1737334,71.5,3522435,2329240,286800,0,175697,1944908,2764967,491,705741,1049805,161171,324,705520,870420,161076,318,N/A,67,N/A,78.6,57.4,1630269,67.1,2113723,545994,95,508295,91.9,267078,226588,14503,126,1445905,261487,1110120,2039956,76.2,1855659,69.3,705727,988444,161166,322,4749846,177479,229366,2113589,71.4,1917031,64.8,705737,1049801,161169,324,4885931,165097,207421,977378,51,977295,52.7,954530,54.9,394086,77.5,449769,514368,13217,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3163470,177020,236280,2342197,131064,2151354,160685,1072157,60,971761,72.6,941247,52.7,855821,63.9,1789810,1218160,155500,0,84692,885236,1369052,3217,325046,535858,79584,759,324893,450671,79515,742,N/A,60,N/A,72.6,49.4,796003,59.5,1072157,273838,94.2,248736,85.6,114353,121926,12148,309,682133,234676,1088340,1039781,69.5,915123,61.2,325036,509771,79565,751,2285254,152818,211546,1072075,64.2,941208,56.3,325038,535843,79568,759,2342088,140172,189331,380427,40.4,380425,41.6,380292,44.4,163281,65.6,167469,207236,5640,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indian Health Svc,2748695,131970,N/A,2150266,103239,1904933,N/A,1071768,51.5,938458,N/A,848671,40.7,746118,N/A,1415815,1228480,104400,0,39452,1013183,1097462,169,387369,423692,37604,6,387030,321547,37535,6,N/A,51.5,N/A,N/A,39.2,713714,0,1071768,176012,0,137960,0,77835,56685,3439,1,382750,0,0,1028963,0,819307,0,387284,394438,37579,6,2078003,0,0,1071410,0,848521,0,387298,423637,37580,6,2149730,0,0,245268,28.9,245223,29.9,236188,31.7,65930,47.8,119151,124294,1704,119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,25712235,202909,260933,21541985,169999,19293267,195792,9589913,75.7,8449132,85.7,8475225,66.9,7501685,76.1,15734515,8819820,1157900,0,670194,7651037,13192404,28350,2768657,5078548,619189,8831,2760959,4115563,616556,8607,N/A,75.7,N/A,85.7,63.8,7118932,72.2,9589913,1960051,95,1782484,87.2,793185,901810,83776,3713,5004201,244916,1258410,9140476,84.3,8115163,74.9,2768540,4718668,619132,8823,20728074,191257,237246,9586609,80.4,8474182,71.1,2768559,5077662,619135,8826,21537670,180611,215618,4112063,48.5,4111588,50.7,3967515,52.9,1333914,74.8,1695119,2365159,50451,1334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana,12314780,182923,238462,9124072,135528,8391574,162494,4064260,60.4,3677773,71.2,3616768,53.7,3316259,64.2,7473280,4252500,589000,0,300995,3300879,5493115,29083,1237626,2092704,278278,8160,1237253,1793028,277975,8003,N/A,60.4,N/A,71.2,50.9,3123448,60.5,4064260,999733,92.1,935183,86.1,457379,443101,30871,3832,2595955,239095,1134230,3930391,68.9,3531137,61.9,1237589,2007172,278251,8125,8906661,156119,215858,4063917,64.4,3616711,57.3,1237617,2092672,278262,8160,9123710,144502,195043,1571163,43.4,1569194,44.4,1526542,46,619641,66.3,617574,932262,20382,945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kansas,5642735,193688,254974,4379145,150315,3960058,178940,2127132,73,1905763,86.1,1739011,59.7,1561952,70.6,3258075,2130860,253800,0,134402,1665319,2575647,3777,621046,992653,124617,695,620638,816235,124485,594,N/A,73,N/A,86.1,56.7,1473531,66.6,2127132,523435,95,423664,89.1,201306,203552,18532,274,1190128,250297,1186730,2049619,83.6,1682465,68.6,621013,936175,124596,681,4245408,173162,230156,2126976,78,1738989,63.7,621038,992645,124612,694,4378969,160520,206846,706896,40.6,706802,42,685098,43.9,271702,64.1,307965,388590,10157,184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kentucky,8194635,183421,236511,6260979,140140,5776820,166729,2904331,65,2650092,76.5,2507426,56.1,2297449,66.3,4498875,3317560,378200,0,231629,2577828,3449215,2307,962344,1335469,207917,1696,961966,1126121,207762,1600,N/A,65,N/A,76.5,52.9,2151677,62.1,2904331,720876,95,639137,85.2,292034,307649,38650,804,1741212,231987,1091800,2820216,74.1,2443441,64.2,962226,1271643,207884,1688,6111892,160579,215299,2903902,69.2,2507376,59.8,962333,1335454,207894,1695,6259831,149219,195340,1058100,42.2,1058009,43.3,1035073,45.1,423370,66.2,479692,555896,22361,151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louisiana,7651390,164589,214856,6004774,129168,5595325,157121,2785175,59.9,2557642,71.8,2430136,52.3,2257685,63.4,4316070,3016820,318500,0,194397,2464151,3343210,3016,948138,1303915,177011,1072,947589,1132236,176807,1053,N/A,59.9,N/A,71.8,49.4,2126265,59.7,2785175,673507,90.9,633621,85.5,301353,309703,22354,211,1706465,230285,1032550,2724678,69.4,2392956,61,948105,1266805,176979,1067,5908041,150588,195023,2784915,64.1,2430062,55.9,948123,1303878,176990,1071,6004445,138118,176002,908892,37.4,908760,38,895677,39.7,394959,62.3,404673,491530,12613,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massachusetts,15892750,230580,286888,14101878,204597,12680313,228899,6599921,95,5866697,95,5312763,77.1,4718468,85.2,9343990,5941360,607400,0,397788,5535302,8168354,434,1873361,3060639,378565,198,1867987,2473004,377303,174,N/A,95,N/A,95,73.8,4493904,81.1,6599921,1382167,95,1093326,93.5,494427,524711,74116,72,3153176,269656,1359130,6306679,95,5083271,84.5,1873322,2831220,378535,194,13578070,225671,264142,6598106,95,5312309,81.3,1873352,3060201,378559,197,14099658,215751,243189,2578237,48.5,2577991,50.7,2478235,52.5,752509,68.8,1221642,1331470,25109,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
