Day of MaxDate,Day of Min 14 days,Day of Result Date,Max. Result Date,NotPositive.y,Positive.y,Testing Perc Pos moving avg (copy),Testing Perc Pos moving avg,Total.Y
1-Dec-20,16-Nov-20,1-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,1-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,1-Mar-20,3/1/2020,0,0,0,0,0
1-Dec-20,16-Nov-20,2-Mar-20,,3,0,0,0,3
1-Dec-20,16-Nov-20,2-Mar-20,,3,0,0,0,3
1-Dec-20,16-Nov-20,2-Mar-20,3/2/2020,3,0,0,0,3
1-Dec-20,16-Nov-20,3-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,3-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,3-Mar-20,3/3/2020,0,0,0,0,0
1-Dec-20,16-Nov-20,4-Mar-20,,5,0,0,0,5
1-Dec-20,16-Nov-20,4-Mar-20,,5,0,0,0,5
1-Dec-20,16-Nov-20,4-Mar-20,3/4/2020,5,0,0,0,5
1-Dec-20,16-Nov-20,5-Mar-20,,10,0,0,0,10
1-Dec-20,16-Nov-20,5-Mar-20,,10,0,0,0,10
1-Dec-20,16-Nov-20,5-Mar-20,3/5/2020,10,0,0,0,10
1-Dec-20,16-Nov-20,6-Mar-20,,7,0,0,0,7
1-Dec-20,16-Nov-20,6-Mar-20,,7,0,0,0,7
1-Dec-20,16-Nov-20,6-Mar-20,3/6/2020,7,0,0,0,7
1-Dec-20,16-Nov-20,7-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,7-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,7-Mar-20,3/7/2020,0,0,0,0,0
1-Dec-20,16-Nov-20,8-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,8-Mar-20,,0,0,0,0,0
1-Dec-20,16-Nov-20,8-Mar-20,3/8/2020,0,0,0,0,0
1-Dec-20,16-Nov-20,9-Mar-20,,9,0,0,0,9
1-Dec-20,16-Nov-20,9-Mar-20,,9,0,0,0,9
1-Dec-20,16-Nov-20,9-Mar-20,3/9/2020,9,0,0,0,9
1-Dec-20,16-Nov-20,10-Mar-20,,14,1,2.173913043,2.173913043,15
1-Dec-20,16-Nov-20,10-Mar-20,,14,1,2.173913043,2.173913043,15
1-Dec-20,16-Nov-20,10-Mar-20,3/10/2020,14,1,2.173913043,2.173913043,15
1-Dec-20,16-Nov-20,11-Mar-20,,43,3,4.597701149,4.597701149,46
1-Dec-20,16-Nov-20,11-Mar-20,,43,3,4.597701149,4.597701149,46
1-Dec-20,16-Nov-20,11-Mar-20,3/11/2020,43,3,4.597701149,4.597701149,46
1-Dec-20,16-Nov-20,12-Mar-20,,62,4,5.594405594,5.594405594,66
1-Dec-20,16-Nov-20,12-Mar-20,,62,4,5.594405594,5.594405594,66
1-Dec-20,16-Nov-20,12-Mar-20,3/12/2020,62,4,5.594405594,5.594405594,66
1-Dec-20,16-Nov-20,13-Mar-20,,111,9,6.640625,6.640625,120
1-Dec-20,16-Nov-20,13-Mar-20,,111,9,6.640625,6.640625,120
1-Dec-20,16-Nov-20,13-Mar-20,3/13/2020,111,9,6.640625,6.640625,120
1-Dec-20,16-Nov-20,14-Mar-20,,252,13,5.75815739,5.75815739,265
1-Dec-20,16-Nov-20,14-Mar-20,,252,13,5.75815739,5.75815739,265
1-Dec-20,16-Nov-20,14-Mar-20,3/14/2020,252,13,5.75815739,5.75815739,265
1-Dec-20,16-Nov-20,15-Mar-20,,331,14,5.080831409,5.080831409,345
1-Dec-20,16-Nov-20,15-Mar-20,,331,14,5.080831409,5.080831409,345
1-Dec-20,16-Nov-20,15-Mar-20,3/15/2020,331,14,5.080831409,5.080831409,345
1-Dec-20,16-Nov-20,16-Mar-20,,322,17,5.100334448,5.100334448,339
1-Dec-20,16-Nov-20,16-Mar-20,,322,17,5.100334448,5.100334448,339
1-Dec-20,16-Nov-20,16-Mar-20,3/16/2020,322,17,5.100334448,5.100334448,339
1-Dec-20,16-Nov-20,17-Mar-20,,703,39,5.148205928,5.148205928,742
1-Dec-20,16-Nov-20,17-Mar-20,,703,39,5.148205928,5.148205928,742
1-Dec-20,16-Nov-20,17-Mar-20,3/17/2020,703,39,5.148205928,5.148205928,742
1-Dec-20,16-Nov-20,18-Mar-20,,891,69,5.81600282,5.81600282,960
1-Dec-20,16-Nov-20,18-Mar-20,,891,69,5.81600282,5.81600282,960
1-Dec-20,16-Nov-20,18-Mar-20,3/18/2020,891,69,5.81600282,5.81600282,960
1-Dec-20,16-Nov-20,19-Mar-20,,"1,121",55,5.472510768,5.472510768,"1,176"
1-Dec-20,16-Nov-20,19-Mar-20,,"1,121",55,5.472510768,5.472510768,"1,176"
1-Dec-20,16-Nov-20,19-Mar-20,3/19/2020,"1,121",55,5.472510768,5.472510768,"1,176"
1-Dec-20,16-Nov-20,20-Mar-20,,"1,335",69,5.276237813,5.276237813,"1,404"
1-Dec-20,16-Nov-20,20-Mar-20,,"1,335",69,5.276237813,5.276237813,"1,404"
1-Dec-20,16-Nov-20,20-Mar-20,3/20/2020,"1,335",69,5.276237813,5.276237813,"1,404"
1-Dec-20,16-Nov-20,21-Mar-20,,"1,092",76,5.526573199,5.526573199,"1,168"
1-Dec-20,16-Nov-20,21-Mar-20,,"1,092",76,5.526573199,5.526573199,"1,168"
1-Dec-20,16-Nov-20,21-Mar-20,3/21/2020,"1,092",76,5.526573199,5.526573199,"1,168"
1-Dec-20,16-Nov-20,22-Mar-20,,843,60,5.753138075,5.753138075,903
1-Dec-20,16-Nov-20,22-Mar-20,,843,60,5.753138075,5.753138075,903
1-Dec-20,16-Nov-20,22-Mar-20,3/22/2020,843,60,5.753138075,5.753138075,903
1-Dec-20,16-Nov-20,23-Mar-20,,"1,014",105,6.330299786,6.330299786,"1,119"
1-Dec-20,16-Nov-20,23-Mar-20,,"1,014",105,6.330299786,6.330299786,"1,119"
1-Dec-20,16-Nov-20,23-Mar-20,3/23/2020,"1,014",105,6.330299786,6.330299786,"1,119"
1-Dec-20,16-Nov-20,24-Mar-20,,"1,192",110,6.772908367,6.772908367,"1,302"
1-Dec-20,16-Nov-20,24-Mar-20,,"1,192",110,6.772908367,6.772908367,"1,302"
1-Dec-20,16-Nov-20,24-Mar-20,3/24/2020,"1,192",110,6.772908367,6.772908367,"1,302"
1-Dec-20,16-Nov-20,25-Mar-20,,"1,284",155,7.402185407,7.402185407,"1,439"
1-Dec-20,16-Nov-20,25-Mar-20,,"1,284",155,7.402185407,7.402185407,"1,439"
1-Dec-20,16-Nov-20,25-Mar-20,3/25/2020,"1,284",155,7.402185407,7.402185407,"1,439"
1-Dec-20,16-Nov-20,26-Mar-20,,"1,378",143,8.107497742,8.107497742,"1,521"
1-Dec-20,16-Nov-20,26-Mar-20,,"1,378",143,8.107497742,8.107497742,"1,521"
1-Dec-20,16-Nov-20,26-Mar-20,3/26/2020,"1,378",143,8.107497742,8.107497742,"1,521"
1-Dec-20,16-Nov-20,27-Mar-20,,"1,412",133,8.691786151,8.691786151,"1,545"
1-Dec-20,16-Nov-20,27-Mar-20,,"1,412",133,8.691786151,8.691786151,"1,545"
1-Dec-20,16-Nov-20,27-Mar-20,3/27/2020,"1,412",133,8.691786151,8.691786151,"1,545"
1-Dec-20,16-Nov-20,28-Mar-20,,"1,138",123,9.119911991,9.119911991,"1,261"
1-Dec-20,16-Nov-20,28-Mar-20,,"1,138",123,9.119911991,9.119911991,"1,261"
1-Dec-20,16-Nov-20,28-Mar-20,3/28/2020,"1,138",123,9.119911991,9.119911991,"1,261"
1-Dec-20,16-Nov-20,29-Mar-20,,"1,048",101,9.318766067,9.318766067,"1,149"
1-Dec-20,16-Nov-20,29-Mar-20,,"1,048",101,9.318766067,9.318766067,"1,149"
1-Dec-20,16-Nov-20,29-Mar-20,3/29/2020,"1,048",101,9.318766067,9.318766067,"1,149"
1-Dec-20,16-Nov-20,30-Mar-20,,"1,098",135,9.523809524,9.523809524,"1,233"
1-Dec-20,16-Nov-20,30-Mar-20,,"1,098",135,9.523809524,9.523809524,"1,233"
1-Dec-20,16-Nov-20,30-Mar-20,3/30/2020,"1,098",135,9.523809524,9.523809524,"1,233"
1-Dec-20,16-Nov-20,31-Mar-20,,"1,532",195,9.974683544,9.974683544,"1,727"
1-Dec-20,16-Nov-20,31-Mar-20,,"1,532",195,9.974683544,9.974683544,"1,727"
1-Dec-20,16-Nov-20,31-Mar-20,3/31/2020,"1,532",195,9.974683544,9.974683544,"1,727"
1-Dec-20,16-Nov-20,1-Apr-20,,"1,327",159,9.967748438,9.967748438,"1,486"
1-Dec-20,16-Nov-20,1-Apr-20,,"1,327",159,9.967748438,9.967748438,"1,486"
1-Dec-20,16-Nov-20,1-Apr-20,4/1/2020,"1,327",159,9.967748438,9.967748438,"1,486"
1-Dec-20,16-Nov-20,2-Apr-20,,"1,497",161,10.01093548,10.01093548,"1,658"
1-Dec-20,16-Nov-20,2-Apr-20,,"1,497",161,10.01093548,10.01093548,"1,658"
1-Dec-20,16-Nov-20,2-Apr-20,4/2/2020,"1,497",161,10.01093548,10.01093548,"1,658"
1-Dec-20,16-Nov-20,3-Apr-20,,"1,708",190,10.2189781,10.2189781,"1,898"
1-Dec-20,16-Nov-20,3-Apr-20,,"1,708",190,10.2189781,10.2189781,"1,898"
1-Dec-20,16-Nov-20,3-Apr-20,4/3/2020,"1,708",190,10.2189781,10.2189781,"1,898"
1-Dec-20,16-Nov-20,4-Apr-20,,"1,491",176,10.32538362,10.32538362,"1,667"
1-Dec-20,16-Nov-20,4-Apr-20,,"1,491",176,10.32538362,10.32538362,"1,667"
1-Dec-20,16-Nov-20,4-Apr-20,4/4/2020,"1,491",176,10.32538362,10.32538362,"1,667"
1-Dec-20,16-Nov-20,5-Apr-20,,"1,294",152,10.50832209,10.50832209,"1,446"
1-Dec-20,16-Nov-20,5-Apr-20,,"1,294",152,10.50832209,10.50832209,"1,446"
1-Dec-20,16-Nov-20,5-Apr-20,4/5/2020,"1,294",152,10.50832209,10.50832209,"1,446"
1-Dec-20,16-Nov-20,6-Apr-20,,"1,056",107,10.3214124,10.3214124,"1,163"
1-Dec-20,16-Nov-20,6-Apr-20,,"1,056",107,10.3214124,10.3214124,"1,163"
1-Dec-20,16-Nov-20,6-Apr-20,4/6/2020,"1,056",107,10.3214124,10.3214124,"1,163"
1-Dec-20,16-Nov-20,7-Apr-20,,"1,365",174,10.30671456,10.30671456,"1,539"
1-Dec-20,16-Nov-20,7-Apr-20,,"1,365",174,10.30671456,10.30671456,"1,539"
1-Dec-20,16-Nov-20,7-Apr-20,4/7/2020,"1,365",174,10.30671456,10.30671456,"1,539"
1-Dec-20,16-Nov-20,8-Apr-20,,"1,426",176,10.35268386,10.35268386,"1,602"
1-Dec-20,16-Nov-20,8-Apr-20,,"1,426",176,10.35268386,10.35268386,"1,602"
1-Dec-20,16-Nov-20,8-Apr-20,4/8/2020,"1,426",176,10.35268386,10.35268386,"1,602"
1-Dec-20,16-Nov-20,9-Apr-20,,"1,538",169,10.37924152,10.37924152,"1,707"
1-Dec-20,16-Nov-20,9-Apr-20,,"1,538",169,10.37924152,10.37924152,"1,707"
1-Dec-20,16-Nov-20,9-Apr-20,4/9/2020,"1,538",169,10.37924152,10.37924152,"1,707"
1-Dec-20,16-Nov-20,10-Apr-20,,"1,432",130,10.14411379,10.14411379,"1,562"
