Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
27-Dec-20,Probable cases,2408,2408,,12/28/2020,12/14/2020,confirmed plus probable cases,Wisconsin,9572,289,2023,289,2312
26-Dec-20,Probable cases,2337,2337,,12/27/2020,12/13/2020,confirmed plus probable cases,Wisconsin,9572,273,2208,273,2481
25-Dec-20,Probable cases,2274,2274,,12/26/2020,12/12/2020,confirmed plus probable cases,Wisconsin,9572,149,1342,149,1491
24-Dec-20,Probable cases,2444,2444,,12/25/2020,12/11/2020,confirmed plus probable cases,Wisconsin,9572,225,1602,225,1827
23-Dec-20,Probable cases,2594,2594,,12/24/2020,12/10/2020,confirmed plus probable cases,Wisconsin,9572,357,2348,357,2705
22-Dec-20,Probable cases,2637,2637,,12/23/2020,12/9/2020,confirmed plus probable cases,Wisconsin,9572,344,2371,344,2715
21-Dec-20,Probable cases,2731,2731,,12/22/2020,12/8/2020,confirmed plus probable cases,Wisconsin,9572,477,2850,477,3327
20-Dec-20,Probable cases,2828,2828,,12/21/2020,12/7/2020,confirmed plus probable cases,Wisconsin,9572,247,1566,247,1813
19-Dec-20,Probable cases,2887,2887,,12/20/2020,12/6/2020,confirmed plus probable cases,Wisconsin,9572,282,1761,282,2043
18-Dec-20,Probable cases,2970,2970,,12/19/2020,12/5/2020,confirmed plus probable cases,Wisconsin,9572,398,2286,398,2684
17-Dec-20,Probable cases,3085,3085,,12/18/2020,12/4/2020,confirmed plus probable cases,Wisconsin,9572,472,2405,472,2877
16-Dec-20,Probable cases,3144,3144,,12/17/2020,12/3/2020,confirmed plus probable cases,Wisconsin,9572,475,2525,475,3000
15-Dec-20,Probable cases,3228,3228,,12/16/2020,12/2/2020,confirmed plus probable cases,Wisconsin,9572,547,2829,547,3376
14-Dec-20,Probable cases,3289,3289,,12/15/2020,12/1/2020,confirmed plus probable cases,Wisconsin,9572,664,3339,664,4003
13-Dec-20,Probable cases,3389,3389,,12/14/2020,11/30/2020,confirmed plus probable cases,Wisconsin,9572,331,1900,331,2231
12-Dec-20,Probable cases,3421,3421,,12/13/2020,11/29/2020,confirmed plus probable cases,Wisconsin,9572,323,2299,323,2622
11-Dec-20,Probable cases,3433,3433,,12/12/2020,11/28/2020,confirmed plus probable cases,Wisconsin,9572,478,3011,478,3489
10-Dec-20,Probable cases,3479,3479,,12/11/2020,11/27/2020,confirmed plus probable cases,Wisconsin,9572,479,2811,479,3290
9-Dec-20,Probable cases,3586,3586,,12/10/2020,11/26/2020,confirmed plus probable cases,Wisconsin,9572,504,3087,504,3591
8-Dec-20,Probable cases,3737,3737,,12/9/2020,11/25/2020,confirmed plus probable cases,Wisconsin,9572,514,3283,514,3797
7-Dec-20,Probable cases,3915,3915,,12/8/2020,11/24/2020,confirmed plus probable cases,Wisconsin,9572,655,4050,655,4705
6-Dec-20,Probable cases,4131,4131,,12/7/2020,11/23/2020,confirmed plus probable cases,Wisconsin,9572,306,2149,306,2455
5-Dec-20,Probable cases,4248,4248,,12/6/2020,11/22/2020,confirmed plus probable cases,Wisconsin,9572,297,2411,297,2708
4-Dec-20,Probable cases,4322,4322,,12/5/2020,11/21/2020,confirmed plus probable cases,Wisconsin,9572,515,3294,515,3809
3-Dec-20,Probable cases,4364,4364,,12/4/2020,11/20/2020,confirmed plus probable cases,Wisconsin,9572,628,3414,628,4042
2-Dec-20,Probable cases,4095,4095,,12/3/2020,11/19/2020,confirmed plus probable cases,Wisconsin,9572,637,4006,637,4643
1-Dec-20,Probable cases,4069,4069,,12/2/2020,11/18/2020,confirmed plus probable cases,Wisconsin,9572,653,4396,653,5049
30-Nov-20,Probable cases,4024,4024,,12/1/2020,11/17/2020,confirmed plus probable cases,Wisconsin,9572,728,5484,728,6212
29-Nov-20,Probable cases,3882,3882,,11/30/2020,11/16/2020,confirmed plus probable cases,Wisconsin,9572,324,2949,324,3273
28-Nov-20,Probable cases,3797,3797,,11/29/2020,11/15/2020,confirmed plus probable cases,Wisconsin,9572,267,2959,267,3226
27-Nov-20,Probable cases,3797,3797,,11/28/2020,11/14/2020,confirmed plus probable cases,Wisconsin,9572,339,3764,339,4103
26-Nov-20,Probable cases,3879,3879,,11/27/2020,11/13/2020,confirmed plus probable cases,Wisconsin,9572,217,1948,217,2165
25-Nov-20,Probable cases,4287,4287,,11/26/2020,11/12/2020,confirmed plus probable cases,Wisconsin,9572,462,3995,462,4457
24-Nov-20,Probable cases,4458,4458,,11/25/2020,11/11/2020,confirmed plus probable cases,Wisconsin,9572,478,4258,478,4736
23-Nov-20,Probable cases,4661,4661,,11/24/2020,11/10/2020,confirmed plus probable cases,Wisconsin,9572,565,4650,565,5215
22-Nov-20,Probable cases,4931,4931,,11/23/2020,11/9/2020,confirmed plus probable cases,Wisconsin,9572,237,2442,237,2679
21-Nov-20,Probable cases,5066,5066,,11/22/2020,11/8/2020,confirmed plus probable cases,Wisconsin,9572,307,2920,307,3227
20-Nov-20,Probable cases,5201,5201,,11/21/2020,11/7/2020,confirmed plus probable cases,Wisconsin,9572,567,4108,567,4675
19-Nov-20,Probable cases,5443,5443,,11/20/2020,11/6/2020,confirmed plus probable cases,Wisconsin,9572,549,4472,549,5021
18-Nov-20,Probable cases,5774,5774,,11/19/2020,11/5/2020,confirmed plus probable cases,Wisconsin,9572,593,5066,593,5659
17-Nov-20,Probable cases,5944,5944,,11/18/2020,11/4/2020,confirmed plus probable cases,Wisconsin,9572,626,5529,626,6155
16-Nov-20,Probable cases,6255,6255,,11/17/2020,11/3/2020,confirmed plus probable cases,Wisconsin,9572,726,6381,726,7107
15-Nov-20,Probable cases,6607,6607,,11/16/2020,11/2/2020,confirmed plus probable cases,Wisconsin,9572,310,3314,310,3624
14-Nov-20,Probable cases,6761,6761,,11/15/2020,11/1/2020,confirmed plus probable cases,Wisconsin,9572,331,3837,331,4168
13-Nov-20,Probable cases,6942,6942,,11/14/2020,10/31/2020,confirmed plus probable cases,Wisconsin,9572,634,5734,634,6368
12-Nov-20,Probable cases,7148,7148,,11/13/2020,10/30/2020,confirmed plus probable cases,Wisconsin,9572,733,6610,733,7343
11-Nov-20,Probable cases,7195,7195,,11/12/2020,10/29/2020,confirmed plus probable cases,Wisconsin,9572,738,6108,738,6846
10-Nov-20,Probable cases,7377,7377,,11/11/2020,10/28/2020,confirmed plus probable cases,Wisconsin,9572,518,7813,518,8331
9-Nov-20,Probable cases,7362,7362,,11/10/2020,10/27/2020,confirmed plus probable cases,Wisconsin,9572,630,8942,630,9572
8-Nov-20,Probable cases,7227,7227,,11/9/2020,10/26/2020,confirmed plus probable cases,Wisconsin,9572,277,4428,277,4705
7-Nov-20,Probable cases,7208,7208,,11/8/2020,10/25/2020,confirmed plus probable cases,Wisconsin,9572,292,5139,292,5431
6-Nov-20,Probable cases,7048,7048,,11/7/2020,10/24/2020,confirmed plus probable cases,Wisconsin,9572,410,7399,410,7809
5-Nov-20,Probable cases,6774,6774,,11/6/2020,10/23/2020,confirmed plus probable cases,Wisconsin,9572,423,7248,423,7671
4-Nov-20,Probable cases,6512,6512,,11/5/2020,10/22/2020,confirmed plus probable cases,Wisconsin,9572,373,7749,373,8122
3-Nov-20,Probable cases,6243,6243,,11/4/2020,10/21/2020,confirmed plus probable cases,Wisconsin,9572,386,7841,386,8227
2-Nov-20,Probable cases,5955,5955,,11/3/2020,10/20/2020,confirmed plus probable cases,Wisconsin,9572,412,8218,412,8630
1-Nov-20,Probable cases,5628,5628,,11/2/2020,10/19/2020,confirmed plus probable cases,Wisconsin,9572,248,4320,248,4568
31-Oct-20,Probable cases,5434,5434,,11/1/2020,10/18/2020,confirmed plus probable cases,Wisconsin,9572,169,4142,169,4311
30-Oct-20,Probable cases,5306,5306,,10/31/2020,10/17/2020,confirmed plus probable cases,Wisconsin,9572,293,5597,293,5890
29-Oct-20,Probable cases,5133,5133,,10/30/2020,10/16/2020,confirmed plus probable cases,Wisconsin,9572,302,5538,302,5840
28-Oct-20,Probable cases,4968,4968,,10/29/2020,10/15/2020,confirmed plus probable cases,Wisconsin,9572,251,5988,251,6239
27-Oct-20,Probable cases,4783,4783,,10/28/2020,10/14/2020,confirmed plus probable cases,Wisconsin,9572,298,5911,298,6209
26-Oct-20,Probable cases,4586,4586,,10/27/2020,10/13/2020,confirmed plus probable cases,Wisconsin,9572,304,6040,304,6344
25-Oct-20,Probable cases,4398,4398,,10/26/2020,10/12/2020,confirmed plus probable cases,Wisconsin,9572,197,3013,197,3210
24-Oct-20,Probable cases,4305,4305,,10/25/2020,10/11/2020,confirmed plus probable cases,Wisconsin,9572,176,3234,176,3410
23-Oct-20,Probable cases,4189,4189,,10/24/2020,10/10/2020,confirmed plus probable cases,Wisconsin,9572,272,4413,272,4685
22-Oct-20,Probable cases,4051,4051,,10/23/2020,10/9/2020,confirmed plus probable cases,Wisconsin,9572,289,4393,289,4682
21-Oct-20,Probable cases,3935,3935,,10/22/2020,10/8/2020,confirmed plus probable cases,Wisconsin,9572,238,4708,238,4946
20-Oct-20,Probable cases,3792,3792,,10/21/2020,10/7/2020,confirmed plus probable cases,Wisconsin,9572,210,4619,210,4829
19-Oct-20,Probable cases,3661,3661,,10/20/2020,10/6/2020,confirmed plus probable cases,Wisconsin,9572,241,4789,241,5030
18-Oct-20,Probable cases,3567,3567,,10/19/2020,10/5/2020,confirmed plus probable cases,Wisconsin,9572,138,2418,138,2556
17-Oct-20,Probable cases,3544,3544,,10/18/2020,10/4/2020,confirmed plus probable cases,Wisconsin,9572,124,2471,124,2595
16-Oct-20,Probable cases,3533,3533,,10/17/2020,10/3/2020,confirmed plus probable cases,Wisconsin,9572,190,3533,190,3723
15-Oct-20,Probable cases,3498,3498,,10/16/2020,10/2/2020,confirmed plus probable cases,Wisconsin,9572,248,3622,248,3870
14-Oct-20,Probable cases,3450,3450,,10/15/2020,10/1/2020,confirmed plus probable cases,Wisconsin,9572,221,3726,221,3947
13-Oct-20,Probable cases,3419,3419,,10/14/2020,9/30/2020,confirmed plus probable cases,Wisconsin,9572,212,3695,212,3907
12-Oct-20,Probable cases,3399,3399,,10/13/2020,9/29/2020,confirmed plus probable cases,Wisconsin,9572,241,4133,241,4374
11-Oct-20,Probable cases,3303,3303,,10/12/2020,9/28/2020,confirmed plus probable cases,Wisconsin,9572,152,2241,152,2393
10-Oct-20,Probable cases,3237,3237,,10/11/2020,9/27/2020,confirmed plus probable cases,Wisconsin,9572,103,2416,103,2519
9-Oct-20,Probable cases,3176,3176,,10/10/2020,9/26/2020,confirmed plus probable cases,Wisconsin,9572,201,3277,201,3478
8-Oct-20,Probable cases,3067,3067,,10/9/2020,9/25/2020,confirmed plus probable cases,Wisconsin,9572,182,3355,182,3537
7-Oct-20,Probable cases,2972,2972,,10/8/2020,9/24/2020,confirmed plus probable cases,Wisconsin,9572,182,3548,182,3730
6-Oct-20,Probable cases,2867,2867,,10/7/2020,9/23/2020,confirmed plus probable cases,Wisconsin,9572,170,3597,170,3767
5-Oct-20,Probable cases,2732,2732,,10/6/2020,9/22/2020,confirmed plus probable cases,Wisconsin,9572,166,3531,166,3697
4-Oct-20,Probable cases,2694,2694,,10/5/2020,9/21/2020,confirmed plus probable cases,Wisconsin,9572,85,1849,85,1934
3-Oct-20,Probable cases,2656,2656,,10/4/2020,9/20/2020,confirmed plus probable cases,Wisconsin,9572,75,2014,75,2089
2-Oct-20,Probable cases,2630,2630,,10/3/2020,9/19/2020,confirmed plus probable cases,Wisconsin,9572,125,2595,125,2720
1-Oct-20,Probable cases,2600,2600,,10/2/2020,9/18/2020,confirmed plus probable cases,Wisconsin,9572,108,2761,108,2869
30-Sep-20,Probable cases,2558,2558,,10/1/2020,9/17/2020,confirmed plus probable cases,Wisconsin,9572,100,2895,100,2995
29-Sep-20,Probable cases,2597,2597,,9/30/2020,9/16/2020,confirmed plus probable cases,Wisconsin,9572,101,2725,101,2826
28-Sep-20,Probable cases,2581,2581,,9/29/2020,9/15/2020,confirmed plus probable cases,Wisconsin,9572,132,3293,132,3425
27-Sep-20,Probable cases,2501,2501,,9/28/2020,9/14/2020,confirmed plus probable cases,Wisconsin,9572,66,1607,66,1673
26-Sep-20,Probable cases,2475,2475,,9/27/2020,9/13/2020,confirmed plus probable cases,Wisconsin,9572,70,1837,70,1907
25-Sep-20,Probable cases,2432,2432,,9/26/2020,9/12/2020,confirmed plus probable cases,Wisconsin,9572,92,2415,92,2507
24-Sep-20,Probable cases,2364,2364,,9/25/2020,9/11/2020,confirmed plus probable cases,Wisconsin,9572,96,2478,96,2574
23-Sep-20,Probable cases,2302,2302,,9/24/2020,9/10/2020,confirmed plus probable cases,Wisconsin,9572,100,3167,100,3267
22-Sep-20,Probable cases,2179,2179,,9/23/2020,9/9/2020,confirmed plus probable cases,Wisconsin,9572,104,2614,104,2718
21-Sep-20,Probable cases,2112,2112,,9/22/2020,9/8/2020,confirmed plus probable cases,Wisconsin,9572,144,2719,144,2863
20-Sep-20,Probable cases,2036,2036,,9/21/2020,9/7/2020,confirmed plus probable cases,Wisconsin,9572,57,1434,57,1491
19-Sep-20,Probable cases,2002,2002,,9/20/2020,9/6/2020,confirmed plus probable cases,Wisconsin,9572,68,1537,68,1605
18-Sep-20,Probable cases,1955,1955,,9/19/2020,9/5/2020,confirmed plus probable cases,Wisconsin,9572,137,1897,137,2034
17-Sep-20,Probable cases,1907,1907,,9/18/2020,9/4/2020,confirmed plus probable cases,Wisconsin,9572,113,2027,113,2140
16-Sep-20,Probable cases,1850,1850,,9/17/2020,9/3/2020,confirmed plus probable cases,Wisconsin,9572,128,2280,128,2408
15-Sep-20,Probable cases,1768,1768,,9/16/2020,9/2/2020,confirmed plus probable cases,Wisconsin,9572,118,2127,118,2245
14-Sep-20,Probable cases,1727,1727,,9/15/2020,9/1/2020,confirmed plus probable cases,Wisconsin,9572,117,2217,117,2334
13-Sep-20,Probable cases,1562,1562,,9/14/2020,8/31/2020,confirmed plus probable cases,Wisconsin,9572,47,1206,47,1253
12-Sep-20,Probable cases,1509,1509,,9/13/2020,8/30/2020,confirmed plus probable cases,Wisconsin,9572,55,1220,55,1275
11-Sep-20,Probable cases,1452,1452,,9/12/2020,8/29/2020,confirmed plus probable cases,Wisconsin,9572,115,1585,115,1700
10-Sep-20,Probable cases,1368,1368,,9/11/2020,8/28/2020,confirmed plus probable cases,Wisconsin,9572,92,1645,92,1737
9-Sep-20,Probable cases,1278,1278,,9/10/2020,8/27/2020,confirmed plus probable cases,Wisconsin,9572,88,1750,88,1838
8-Sep-20,Probable cases,1173,1173,,9/9/2020,8/26/2020,confirmed plus probable cases,Wisconsin,9572,77,1881,77,1958
7-Sep-20,Probable cases,1064,1064,,9/8/2020,8/25/2020,confirmed plus probable cases,Wisconsin,9572,42,1135,42,1177
6-Sep-20,Probable cases,1052,1052,,9/7/2020,8/24/2020,confirmed plus probable cases,Wisconsin,9572,31,851,31,882
5-Sep-20,Probable cases,1014,1014,,9/6/2020,8/23/2020,confirmed plus probable cases,Wisconsin,9572,21,852,21,873
4-Sep-20,Probable cases,975,975,,9/5/2020,8/22/2020,confirmed plus probable cases,Wisconsin,9572,58,1056,58,1114
3-Sep-20,Probable cases,931,931,,9/4/2020,8/21/2020,confirmed plus probable cases,Wisconsin,9572,54,1053,54,1107
2-Sep-20,Probable cases,898,898,,9/3/2020,8/20/2020,confirmed plus probable cases,Wisconsin,9572,51,1053,51,1104
1-Sep-20,Probable cases,866,866,,9/2/2020,8/19/2020,confirmed plus probable cases,Wisconsin,9572,36,1157,36,1193
31-Aug-20,Probable cases,831,831,,9/1/2020,8/18/2020,confirmed plus probable cases,Wisconsin,9572,31,1065,31,1096
30-Aug-20,Probable cases,798,798,,8/31/2020,8/17/2020,confirmed plus probable cases,Wisconsin,9572,14,601,14,615
29-Aug-20,Probable cases,786,786,,8/30/2020,8/16/2020,confirmed plus probable cases,Wisconsin,9572,21,580,21,601
28-Aug-20,Probable cases,772,772,,8/29/2020,8/15/2020,confirmed plus probable cases,Wisconsin,9572,47,759,47,806
27-Aug-20,Probable cases,754,754,,8/28/2020,8/14/2020,confirmed plus probable cases,Wisconsin,9572,31,842,31,873
26-Aug-20,Probable cases,720,720,,8/27/2020,8/13/2020,confirmed plus probable cases,Wisconsin,9572,43,840,43,883
25-Aug-20,Probable cases,704,704,,8/26/2020,8/12/2020,confirmed plus probable cases,Wisconsin,9572,41,905,41,946
24-Aug-20,Probable cases,694,694,,8/25/2020,8/11/2020,confirmed plus probable cases,Wisconsin,9572,22,842,22,864
23-Aug-20,Probable cases,681,681,,8/24/2020,8/10/2020,confirmed plus probable cases,Wisconsin,9572,18,515,18,533
22-Aug-20,Probable cases,678,678,,8/23/2020,8/9/2020,confirmed plus probable cases,Wisconsin,9572,20,484,20,504
21-Aug-20,Probable cases,683,683,,8/22/2020,8/8/2020,confirmed plus probable cases,Wisconsin,9572,35,641,35,676
20-Aug-20,Probable cases,678,678,,8/21/2020,8/7/2020,confirmed plus probable cases,Wisconsin,9572,33,606,33,639
19-Aug-20,Probable cases,682,682,,8/20/2020,8/6/2020,confirmed plus probable cases,Wisconsin,9572,38,731,38,769
18-Aug-20,Probable cases,695,695,,8/19/2020,8/5/2020,confirmed plus probable cases,Wisconsin,9572,30,845,30,875
17-Aug-20,Probable cases,695,695,,8/18/2020,8/4/2020,confirmed plus probable cases,Wisconsin,9572,36,741,36,777
16-Aug-20,Probable cases,706,706,,8/17/2020,8/3/2020,confirmed plus probable cases,Wisconsin,9572,16,490,16,506
15-Aug-20,Probable cases,714,714,,8/16/2020,8/2/2020,confirmed plus probable cases,Wisconsin,9572,22,518,22,540
14-Aug-20,Probable cases,717,717,,8/15/2020,8/1/2020,confirmed plus probable cases,Wisconsin,9572,22,619,22,641
13-Aug-20,Probable cases,734,734,,8/14/2020,7/31/2020,confirmed plus probable cases,Wisconsin,9572,35,637,35,672
12-Aug-20,Probable cases,749,749,,8/13/2020,7/30/2020,confirmed plus probable cases,Wisconsin,9572,34,824,34,858
11-Aug-20,Probable cases,761,761,,8/12/2020,7/29/2020,confirmed plus probable cases,Wisconsin,9572,22,854,22,876
10-Aug-20,Probable cases,771,771,,8/11/2020,7/28/2020,confirmed plus probable cases,Wisconsin,9572,39,813,39,852
9-Aug-20,Probable cases,793,793,,8/10/2020,7/27/2020,confirmed plus probable cases,Wisconsin,9572,15,549,15,564
8-Aug-20,Probable cases,788,788,,8/9/2020,7/26/2020,confirmed plus probable cases,Wisconsin,9572,17,540,17,557
7-Aug-20,Probable cases,807,807,,8/8/2020,7/25/2020,confirmed plus probable cases,Wisconsin,9572,27,736,27,763
6-Aug-20,Probable cases,807,807,,8/7/2020,7/24/2020,confirmed plus probable cases,Wisconsin,9572,32,744,32,776
5-Aug-20,Probable cases,810,810,,8/6/2020,7/23/2020,confirmed plus probable cases,Wisconsin,9572,41,898,41,939
4-Aug-20,Probable cases,802,802,,8/5/2020,7/22/2020,confirmed plus probable cases,Wisconsin,9572,41,908,41,949
3-Aug-20,Probable cases,804,804,,8/4/2020,7/21/2020,confirmed plus probable cases,Wisconsin,9572,33,975,33,1008
2-Aug-20,Probable cases,816,816,,8/3/2020,7/20/2020,confirmed plus probable cases,Wisconsin,9572,22,506,22,528
1-Aug-20,Probable cases,822,822,,8/2/2020,7/19/2020,confirmed plus probable cases,Wisconsin,9572,22,666,22,688
31-Jul-20,Probable cases,812,812,,8/1/2020,7/18/2020,confirmed plus probable cases,Wisconsin,9572,31,732,31,763
30-Jul-20,Probable cases,819,819,,7/31/2020,7/17/2020,confirmed plus probable cases,Wisconsin,9572,32,767,32,799
29-Jul-20,Probable cases,821,821,,7/30/2020,7/16/2020,confirmed plus probable cases,Wisconsin,9572,29,851,29,880
