Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
23-Feb-21,Probable cases,384,384,,2/24/2021,2/10/2021,confirmed plus probable cases,Wisconsin,9572,27,41,27,68
22-Feb-21,Probable cases,485,485,,2/23/2021,2/9/2021,confirmed plus probable cases,Wisconsin,9572,88,291,88,379
21-Feb-21,Probable cases,543,543,,2/22/2021,2/8/2021,confirmed plus probable cases,Wisconsin,9572,34,153,34,187
20-Feb-21,Probable cases,588,588,,2/21/2021,2/7/2021,confirmed plus probable cases,Wisconsin,9572,33,242,33,275
19-Feb-21,Probable cases,624,624,,2/20/2021,2/6/2021,confirmed plus probable cases,Wisconsin,9572,99,398,99,497
18-Feb-21,Probable cases,647,647,,2/19/2021,2/5/2021,confirmed plus probable cases,Wisconsin,9572,97,514,97,611
17-Feb-21,Probable cases,658,658,,2/18/2021,2/4/2021,confirmed plus probable cases,Wisconsin,9572,105,567,105,672
16-Feb-21,Probable cases,696,696,,2/17/2021,2/3/2021,confirmed plus probable cases,Wisconsin,9572,131,644,131,775
15-Feb-21,Probable cases,717,717,,2/16/2021,2/2/2021,confirmed plus probable cases,Wisconsin,9572,153,636,153,789
14-Feb-21,Probable cases,744,744,,2/15/2021,2/1/2021,confirmed plus probable cases,Wisconsin,9572,53,447,53,500
13-Feb-21,Probable cases,763,763,,2/14/2021,1/31/2021,confirmed plus probable cases,Wisconsin,9572,84,446,84,530
12-Feb-21,Probable cases,785,785,,2/13/2021,1/30/2021,confirmed plus probable cases,Wisconsin,9572,107,550,107,657
11-Feb-21,Probable cases,829,829,,2/12/2021,1/29/2021,confirmed plus probable cases,Wisconsin,9572,107,578,107,685
10-Feb-21,Probable cases,870,870,,2/11/2021,1/28/2021,confirmed plus probable cases,Wisconsin,9572,113,824,113,937
9-Feb-21,Probable cases,902,902,,2/10/2021,1/27/2021,confirmed plus probable cases,Wisconsin,9572,136,786,136,922
8-Feb-21,Probable cases,940,940,,2/9/2021,1/26/2021,confirmed plus probable cases,Wisconsin,9572,153,824,153,977
7-Feb-21,Probable cases,1023,1023,,2/8/2021,1/25/2021,confirmed plus probable cases,Wisconsin,9572,104,532,104,636
6-Feb-21,Probable cases,1058,1058,,2/7/2021,1/24/2021,confirmed plus probable cases,Wisconsin,9572,98,585,98,683
5-Feb-21,Probable cases,1100,1100,,2/6/2021,1/23/2021,confirmed plus probable cases,Wisconsin,9572,147,817,147,964
4-Feb-21,Probable cases,1157,1157,,2/5/2021,1/22/2021,confirmed plus probable cases,Wisconsin,9572,135,841,135,976
3-Feb-21,Probable cases,1206,1206,,2/4/2021,1/21/2021,confirmed plus probable cases,Wisconsin,9572,184,976,184,1160
2-Feb-21,Probable cases,1266,1266,,2/3/2021,1/20/2021,confirmed plus probable cases,Wisconsin,9572,174,1010,174,1184
1-Feb-21,Probable cases,1310,1310,,2/2/2021,1/19/2021,confirmed plus probable cases,Wisconsin,9572,225,1339,225,1564
31-Jan-21,Probable cases,1359,1359,,2/1/2021,1/18/2021,confirmed plus probable cases,Wisconsin,9572,120,757,120,877
30-Jan-21,Probable cases,1394,1394,,1/31/2021,1/17/2021,confirmed plus probable cases,Wisconsin,9572,126,853,126,979
29-Jan-21,Probable cases,1433,1433,,1/30/2021,1/16/2021,confirmed plus probable cases,Wisconsin,9572,205,1159,205,1364
28-Jan-21,Probable cases,1468,1468,,1/29/2021,1/15/2021,confirmed plus probable cases,Wisconsin,9572,195,1124,195,1319
27-Jan-21,Probable cases,1531,1531,,1/28/2021,1/14/2021,confirmed plus probable cases,Wisconsin,9572,249,1328,249,1577
26-Jan-21,Probable cases,1572,1572,,1/27/2021,1/13/2021,confirmed plus probable cases,Wisconsin,9572,198,1297,198,1495
25-Jan-21,Probable cases,1653,1653,,1/26/2021,1/12/2021,confirmed plus probable cases,Wisconsin,9572,276,1626,276,1902
24-Jan-21,Probable cases,1691,1691,,1/25/2021,1/11/2021,confirmed plus probable cases,Wisconsin,9572,140,988,140,1128
23-Jan-21,Probable cases,1720,1720,,1/24/2021,1/10/2021,confirmed plus probable cases,Wisconsin,9572,148,1098,148,1246
22-Jan-21,Probable cases,1759,1759,,1/23/2021,1/9/2021,confirmed plus probable cases,Wisconsin,9572,245,1367,245,1612
21-Jan-21,Probable cases,1811,1811,,1/22/2021,1/8/2021,confirmed plus probable cases,Wisconsin,9572,293,1465,293,1758
20-Jan-21,Probable cases,1854,1854,,1/21/2021,1/7/2021,confirmed plus probable cases,Wisconsin,9572,276,1588,276,1864
19-Jan-21,Probable cases,1923,1923,,1/20/2021,1/6/2021,confirmed plus probable cases,Wisconsin,9572,306,1756,306,2062
18-Jan-21,Probable cases,1978,1978,,1/19/2021,1/5/2021,confirmed plus probable cases,Wisconsin,9572,370,1798,370,2168
17-Jan-21,Probable cases,2151,2151,,1/18/2021,1/4/2021,confirmed plus probable cases,Wisconsin,9572,221,1111,221,1332
16-Jan-21,Probable cases,2204,2204,,1/17/2021,1/3/2021,confirmed plus probable cases,Wisconsin,9572,247,1273,247,1520
15-Jan-21,Probable cases,2267,2267,,1/16/2021,1/2/2021,confirmed plus probable cases,Wisconsin,9572,359,1619,359,1978
14-Jan-21,Probable cases,2346,2346,,1/15/2021,1/1/2021,confirmed plus probable cases,Wisconsin,9572,346,1708,346,2054
13-Jan-21,Probable cases,2428,2428,,1/14/2021,12/31/2020,confirmed plus probable cases,Wisconsin,9572,401,1948,401,2349
12-Jan-21,Probable cases,2523,2523,,1/13/2021,12/30/2020,confirmed plus probable cases,Wisconsin,9572,387,2059,387,2446
11-Jan-21,Probable cases,2668,2668,,1/12/2021,12/29/2020,confirmed plus probable cases,Wisconsin,9572,575,2808,575,3383
10-Jan-21,Probable cases,2798,2798,,1/11/2021,12/28/2020,confirmed plus probable cases,Wisconsin,9572,256,1445,256,1701
9-Jan-21,Probable cases,2908,2908,,1/10/2021,12/27/2020,confirmed plus probable cases,Wisconsin,9572,274,1684,274,1958
8-Jan-21,Probable cases,3020,3020,,1/9/2021,12/26/2020,confirmed plus probable cases,Wisconsin,9572,372,2164,372,2536
7-Jan-21,Probable cases,2947,2947,,1/8/2021,12/25/2020,confirmed plus probable cases,Wisconsin,9572,448,2178,448,2626
6-Jan-21,Probable cases,2956,2956,,1/7/2021,12/24/2020,confirmed plus probable cases,Wisconsin,9572,473,2541,473,3014
5-Jan-21,Probable cases,2966,2966,,1/6/2021,12/23/2020,confirmed plus probable cases,Wisconsin,9572,568,2890,568,3458
4-Jan-21,Probable cases,2942,2942,,1/5/2021,12/22/2020,confirmed plus probable cases,Wisconsin,9572,677,3620,677,4297
3-Jan-21,Probable cases,2900,2900,,1/4/2021,12/21/2020,confirmed plus probable cases,Wisconsin,9572,396,2072,396,2468
2-Jan-21,Probable cases,2878,2878,,1/3/2021,12/20/2020,confirmed plus probable cases,Wisconsin,9572,335,2406,335,2741
1-Jan-21,Probable cases,2841,2841,,1/2/2021,12/19/2020,confirmed plus probable cases,Wisconsin,9572,308,1718,308,2026
31-Dec-20,Probable cases,2765,2765,,1/1/2021,12/18/2020,confirmed plus probable cases,Wisconsin,9572,364,2326,364,2690
30-Dec-20,Probable cases,2641,2641,,12/31/2020,12/17/2020,confirmed plus probable cases,Wisconsin,9572,347,2740,347,3087
29-Dec-20,Probable cases,2587,2587,,12/30/2020,12/16/2020,confirmed plus probable cases,Wisconsin,9572,371,2920,371,3291
28-Dec-20,Probable cases,2504,2504,,12/29/2020,12/15/2020,confirmed plus probable cases,Wisconsin,9572,465,3538,465,4003
