OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,DEATHS,DATE
398,55039042100,Census tract,,277,6,-999.0,-999.0,-999.0,,1592229600000
399,55039042200,Census tract,,283,13,-999.0,9.0,-999.0,,1592229600000
406,55043960100,Census tract,,226,-999,-999.0,-999.0,-999.0,,1592229600000
407,55043960200,Census tract,,334,-999,-999.0,-999.0,-999.0,,1592229600000
408,55043960300,Census tract,,245,-999,-999.0,-999.0,-999.0,,1592229600000
413,55043960800,Census tract,,152,-999,-999.0,-999.0,-999.0,,1592229600000
414,55043960900,Census tract,,265,9,-999.0,6.0,-999.0,,1592229600000
419,55045960100,Census tract,,383,14,-999.0,10.0,-999.0,,1592229600000
420,55045960200,Census tract,,295,9,-999.0,6.0,-999.0,,1592229600000
421,55045960300,Census tract,,280,-999,-999.0,-999.0,-999.0,,1592229600000
422,55045960400,Census tract,,311,18,-999.0,17.0,-999.0,,1592229600000
428,55047100100,Census tract,,181,-999,-999.0,-999.0,-999.0,,1592229600000
430,55047100300,Census tract,,174,-999,-999.0,-999.0,-999.0,,1592229600000
432,55047100500,Census tract,,120,-999,-999.0,-999.0,-999.0,,1592229600000
435,55049950100,Census tract,,234,-999,-999.0,-999.0,-999.0,,1592229600000
436,55049950200,Census tract,,159,-999,-999.0,-999.0,-999.0,,1592229600000
437,55049950300,Census tract,,213,-999,-999.0,-999.0,-999.0,,1592229600000
438,55049950400,Census tract,,360,-999,-999.0,-999.0,-999.0,,1592229600000
446,55053960100,Census tract,,264,9,-999.0,6.0,-999.0,,1592229600000
447,55053960200,Census tract,,267,-999,-999.0,-999.0,-999.0,,1592229600000
448,55053960300,Census tract,,313,5,-999.0,-999.0,-999.0,,1592229600000
450,55053960500,Census tract,,577,-999,-999.0,-999.0,-999.0,,1592229600000
453,55055100200,Census tract,,184,5,-999.0,-999.0,-999.0,,1592229600000
455,55055100400,Census tract,,280,13,-999.0,8.0,-999.0,,1592229600000
456,55055100500,Census tract,,364,6,-999.0,-999.0,-999.0,,1592229600000
457,55055100601,Census tract,,95,-999,-999.0,-999.0,-999.0,,1592229600000
461,55055100900,Census tract,,211,-999,-999.0,-999.0,-999.0,,1592229600000
462,55055101000,Census tract,,207,-999,-999.0,-999.0,-999.0,,1592229600000
463,55055101100,Census tract,,361,13,-999.0,12.0,-999.0,,1592229600000
464,55055101201,Census tract,,125,-999,-999.0,-999.0,-999.0,,1592229600000
469,55055101600,Census tract,,337,13,-999.0,10.0,-999.0,,1592229600000
471,55055101702,Census tract,,228,7,-999.0,6.0,-999.0,,1592229600000
476,55057100400,Census tract,,403,-999,-999.0,-999.0,-999.0,,1592229600000
477,55057100500,Census tract,,373,-999,-999.0,-999.0,-999.0,,1592229600000
478,55057100600,Census tract,,286,-999,-999.0,-999.0,-999.0,,1592229600000
479,55057100700,Census tract,,243,-999,-999.0,-999.0,-999.0,,1592229600000
484,55059000500,Census tract,,413,37,-999.0,26.0,7.0,,1592229600000
485,55059000601,Census tract,,520,115,-999.0,38.0,76.0,,1592229600000
488,55059000800,Census tract,,210,59,13.0,29.0,17.0,,1592229600000
489,55059000900,Census tract,,327,95,10.0,54.0,31.0,,1592229600000
490,55059001000,Census tract,,390,22,7.0,7.0,8.0,,1592229600000
491,55059001100,Census tract,,305,87,13.0,31.0,43.0,,1592229600000
494,55059001400,Census tract,,453,47,-999.0,33.0,12.0,,1592229600000
495,55059001500,Census tract,,232,28,-999.0,17.0,9.0,,1592229600000
496,55059001600,Census tract,,247,41,-999.0,24.0,15.0,,1592229600000
497,55059001700,Census tract,,179,46,5.0,28.0,13.0,,1592229600000
501,55059002100,Census tract,,595,70,12.0,44.0,14.0,,1592229600000
503,55059002300,Census tract,,452,30,-999.0,18.0,8.0,,1592229600000
504,55059002400,Census tract,,346,9,-999.0,-999.0,-999.0,,1592229600000
509,55059002800,Census tract,,338,6,-999.0,-999.0,-999.0,,1592229600000
510,55059002903,Census tract,,172,8,-999.0,6.0,-999.0,,1592229600000
511,55059002904,Census tract,,316,22,-999.0,7.0,14.0,,1592229600000
512,55059002905,Census tract,,257,16,-999.0,10.0,5.0,,1592229600000
513,55059002906,Census tract,,261,13,-999.0,10.0,-999.0,,1592229600000
514,55059003001,Census tract,,236,6,-999.0,-999.0,-999.0,,1592229600000
519,55061960400,Census tract,,404,15,-999.0,10.0,-999.0,,1592229600000
520,55061960500,Census tract,,330,12,-999.0,8.0,-999.0,,1592229600000
522,55063000100,Census tract,,357,-999,-999.0,-999.0,-999.0,,1592229600000
523,55063000200,Census tract,,322,-999,-999.0,-999.0,-999.0,,1592229600000
527,55063000600,Census tract,,125,-999,-999.0,-999.0,-999.0,,1592229600000
528,55063000700,Census tract,,262,-999,-999.0,-999.0,-999.0,,1592229600000
529,55063000800,Census tract,,186,7,-999.0,-999.0,-999.0,,1592229600000
534,55063001200,Census tract,,263,-999,-999.0,-999.0,-999.0,,1592229600000
535,55063010101,Census tract,,282,8,-999.0,-999.0,-999.0,,1592229600000
536,55063010102,Census tract,,375,-999,-999.0,-999.0,-999.0,,1592229600000
537,55063010201,Census tract,,534,14,-999.0,7.0,5.0,,1592229600000
541,55063010401,Census tract,,312,-999,-999.0,-999.0,-999.0,,1592229600000
542,55063010402,Census tract,,597,10,-999.0,8.0,-999.0,,1592229600000
543,55063010500,Census tract,,371,-999,-999.0,-999.0,-999.0,,1592229600000
544,55063010600,Census tract,,220,-999,-999.0,-999.0,-999.0,,1592229600000
545,55063010700,Census tract,,447,-999,-999.0,-999.0,-999.0,,1592229600000
550,55065970300,Census tract,,205,7,-999.0,-999.0,-999.0,,1592229600000
551,55065970400,Census tract,,192,-999,-999.0,-999.0,-999.0,,1592229600000
552,55065970500,Census tract,,146,8,-999.0,8.0,-999.0,,1592229600000
555,55067960300,Census tract,,107,-999,-999.0,-999.0,-999.0,,1592229600000
559,55067960700,Census tract,,300,-999,-999.0,-999.0,-999.0,,1592229600000
562,55069960200,Census tract,,237,-999,-999.0,-999.0,-999.0,,1592229600000
567,55069960700,Census tract,,143,-999,-999.0,-999.0,-999.0,,1592229600000
568,55069960800,Census tract,,122,-999,-999.0,-999.0,-999.0,,1592229600000
570,55069961000,Census tract,,196,-999,-999.0,-999.0,-999.0,,1592229600000
573,55071000200,Census tract,,101,-999,-999.0,-999.0,-999.0,,1592229600000
576,55071000500,Census tract,,145,-999,-999.0,-999.0,-999.0,,1592229600000
579,55071000800,Census tract,,225,-999,-999.0,-999.0,-999.0,,1592229600000
582,55071005300,Census tract,,89,-999,-999.0,-999.0,-999.0,,1592229600000
584,55071010100,Census tract,,208,-999,-999.0,-999.0,-999.0,,1592229600000
587,55001950100,Census tract,,153,-999,-999.0,-999.0,-999.0,,1592229600000
592,55001950502,Census tract,,161,-999,-999.0,-999.0,-999.0,,1592229600000
593,55001950700,Census tract,,224,-999,-999.0,-999.0,-999.0,,1592229600000
595,55003940000,Census tract,,54,-999,-999.0,-999.0,-999.0,,1592229600000
601,55003950800,Census tract,,107,-999,-999.0,-999.0,-999.0,,1592229600000
602,55071010200,Census tract,,295,7,-999.0,5.0,-999.0,,1592229600000
603,55071010300,Census tract,,174,-999,-999.0,-999.0,-999.0,,1592229600000
604,55071010400,Census tract,,252,-999,-999.0,-999.0,-999.0,,1592229600000
27841,55079080200,Census tract,,54,-999,,,,,1588687200000
27842,55079080300,Census tract,,54,10,,,,,1588687200000
27843,55079080400,Census tract,,61,7,,,,,1588687200000
27844,55079090100,Census tract,,74,7,,,,,1588687200000
27849,55079090800,Census tract,,31,7,,,,,1588687200000
27850,55079090900,Census tract,,62,10,,,,,1588687200000
27851,55079091000,Census tract,,53,6,,,,,1588687200000
27852,55079091100,Census tract,,50,-999,,,,,1588687200000
27853,55079091200,Census tract,,106,11,,,,,1588687200000
27855,55079091400,Census tract,,37,-999,,,,,1588687200000
27856,55079100100,Census tract,,74,6,,,,,1588687200000
27861,55079100600,Census tract,,34,-999,,,,,1588687200000
27862,55079100700,Census tract,,46,-999,,,,,1588687200000
27867,55079101200,Census tract,,42,5,,,,,1588687200000
27868,55079101300,Census tract,,55,7,,,,,1588687200000
27869,55079101400,Census tract,,72,-999,,,,,1588687200000
27870,55079101500,Census tract,,72,-999,,,,,1588687200000
27871,55079101600,Census tract,,74,9,,,,,1588687200000
27876,55079120102,Census tract,,85,25,,,,,1588687200000
27877,55079120201,Census tract,,60,-999,,,,,1588687200000
27878,55079120202,Census tract,,39,9,,,,,1588687200000
27879,55079120203,Census tract,,50,10,,,,,1588687200000
27880,55079120300,Census tract,,21,-999,,,,,1588687200000
27883,55079120502,Census tract,,72,9,,,,,1588687200000
27884,55079130100,Census tract,,54,22,,,,,1588687200000
27885,55079130200,Census tract,,41,-999,,,,,1588687200000
27887,55079140201,Census tract,,70,7,,,,,1588687200000
27890,55079150301,Census tract,,68,9,,,,,1588687200000
27891,55079150303,Census tract,,60,9,,,,,1588687200000
27892,55079150304,Census tract,,45,8,,,,,1588687200000
27893,55079160100,Census tract,,92,10,,,,,1588687200000
27894,55079160202,Census tract,,100,14,,,,,1588687200000
27895,55079160203,Census tract,,92,20,,,,,1588687200000
27898,55079170100,Census tract,,31,8,,,,,1588687200000
27900,55079170300,Census tract,,45,8,,,,,1588687200000
27901,55079170400,Census tract,,53,7,,,,,1588687200000
27902,55079170500,Census tract,,52,15,,,,,1588687200000
27903,55079170600,Census tract,,57,7,,,,,1588687200000
27908,55079180400,Census tract,,32,-999,,,,,1588687200000
27909,55079180500,Census tract,,83,13,,,,,1588687200000
27912,55079185300,Census tract,,81,9,,,,,1588687200000
27914,55079185500,Census tract,,20,6,,,,,1588687200000
27917,55079185800,Census tract,,23,6,,,,,1588687200000
27919,55079186000,Census tract,,37,5,,,,,1588687200000
27920,55079186100,Census tract,,56,11,,,,,1588687200000
27922,55079186300,Census tract,,193,13,,,,,1588687200000
27925,55079186600,Census tract,,34,10,,,,,1588687200000
27927,55079186900,Census tract,,55,12,,,,,1588687200000
27929,55079187200,Census tract,,700,105,,,,,1588687200000
27930,55079187300,Census tract,,52,6,,,,,1588687200000
27932,55079980000,Census tract,,-999,-999,,,,,1588687200000
27937,55081950400,Census tract,,107,-999,,,,,1588687200000
27938,55081950500,Census tract,,115,-999,,,,,1588687200000
27939,55081950600,Census tract,,140,5,,,,,1588687200000
27944,55083100300,Census tract,,32,-999,,,,,1588687200000
27945,55083100500,Census tract,,19,-999,,,,,1588687200000
27946,55083100600,Census tract,,32,-999,,,,,1588687200000
27951,55083101100,Census tract,,46,-999,,,,,1588687200000
27952,55083101200,Census tract,,56,-999,,,,,1588687200000
27953,55083101300,Census tract,,115,13,,,,,1588687200000
27954,55083990000,Census tract,,-999,-999,,,,,1588687200000
27959,55085970500,Census tract,,13,-999,,,,,1588687200000
27960,55085970601,Census tract,,12,-999,,,,,1588687200000
27961,55085970602,Census tract,,33,-999,,,,,1588687200000
27962,55085970800,Census tract,,17,-999,,,,,1588687200000
27964,55085971001,Census tract,,12,-999,,,,,1588687200000
27967,55085971300,Census tract,,15,-999,,,,,1588687200000
27969,55085971500,Census tract,,51,-999,,,,,1588687200000
27972,55087010200,Census tract,,46,-999,,,,,1588687200000
27973,55087010300,Census tract,,29,-999,,,,,1588687200000
27974,55087010500,Census tract,,35,-999,,,,,1588687200000
27975,55087010601,Census tract,,47,-999,,,,,1588687200000
27978,55087010800,Census tract,,11,-999,,,,,1588687200000
27979,55087010900,Census tract,,16,-999,,,,,1588687200000
27981,55087011101,Census tract,,48,-999,,,,,1588687200000
27982,55087011102,Census tract,,90,-999,,,,,1588687200000
27983,55087011200,Census tract,,29,-999,,,,,1588687200000
27988,55087011600,Census tract,,56,-999,,,,,1588687200000
27989,55087011700,Census tract,,19,-999,,,,,1588687200000
27990,55087011800,Census tract,,11,-999,,,,,1588687200000
27991,55087011900,Census tract,,84,-999,,,,,1588687200000
27992,55087012000,Census tract,,37,-999,,,,,1588687200000
27993,55087012100,Census tract,,80,-999,,,,,1588687200000
27995,55087012300,Census tract,,6,-999,,,,,1588687200000
27997,55087012503,Census tract,,27,-999,,,,,1588687200000
28002,55087012602,Census tract,,32,-999,,,,,1588687200000
28003,55087012700,Census tract,,61,-999,,,,,1588687200000
28004,55087012800,Census tract,,58,-999,,,,,1588687200000
28005,55087012901,Census tract,,41,-999,,,,,1588687200000
28009,55087013300,Census tract,,55,-999,,,,,1588687200000
28010,55087940000,Census tract,,38,-999,,,,,1588687200000
28013,55089610102,Census tract,,34,-999,,,,,1588687200000
28015,55089630100,Census tract,,37,-999,,,,,1588687200000
28016,55089630201,Census tract,,46,-999,,,,,1588687200000
28018,55089640100,Census tract,,91,19,,,,,1588687200000
28023,55089650300,Census tract,,53,-999,,,,,1588687200000
28024,55089660100,Census tract,,45,-999,,,,,1588687200000
28025,55089660201,Census tract,,45,-999,,,,,1588687200000
28026,55089660202,Census tract,,62,7,,,,,1588687200000
28027,55089660301,Census tract,,70,11,,,,,1588687200000
28028,55089660303,Census tract,,71,10,,,,,1588687200000
28033,55091950200,Census tract,,80,-999,,,,,1588687200000
28035,55093960100,Census tract,,45,-999,,,,,1588687200000
28036,55093960200,Census tract,,57,-999,,,,,1588687200000
28038,55093960400,Census tract,,30,-999,,,,,1588687200000
28039,55093960500,Census tract,,57,-999,,,,,1588687200000
