OBJECTID,GEOID,GEO,NAME,LoadDttm,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE
142790,55121,County,Trempealeau,2020/07/12 19:00:00+00,3785.0,180,7.0,108.0,65.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,26.0,28.0,2020/07/12 14:00:00+00
142799,55123,County,Vernon,2020/07/12 19:00:00+00,3022.0,40,8.0,24.0,8.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,42.0,42.0,2020/07/12 14:00:00+00
142807,55125,County,Vilas,2020/07/12 19:00:00+00,1419.0,17,4.0,6.0,7.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,32.0,33.0,2020/07/12 14:00:00+00
142813,55127,County,Walworth,2020/07/12 19:00:00+00,10881.0,754,45.0,304.0,405.0,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,86.0,88.0,2020/07/12 14:00:00+00
142836,55129,County,Washburn,2020/07/12 19:00:00+00,1284.0,6,0.0,6.0,0.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,20.0,2020/07/12 14:00:00+00
142842,55131,County,Washington,2020/07/12 19:00:00+00,9781.0,490,54.0,263.0,173.0,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,4.0,12.0,2020/07/12 14:00:00+00
142862,55011,County,Buffalo,2020/07/17 19:00:00+00,1257.0,19,3.0,14.0,2.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.0,9.0,7.0,2020/07/17 14:00:00+00
142868,55013,County,Burnett,2020/07/17 19:00:00+00,1155.0,5,3.0,2.0,0.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.0,22.0,2020/07/17 14:00:00+00
142875,55015,County,Calumet,2020/07/17 19:00:00+00,4391.0,176,12.0,141.0,23.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,60.0,67.0,2020/07/17 14:00:00+00
142887,55017,County,Chippewa,2020/07/17 19:00:00+00,8317.0,151,9.0,96.0,46.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,158.0,158.0,2020/07/17 14:00:00+00
142899,55019,County,Clark,2020/07/17 19:00:00+00,2930.0,130,10.0,78.0,42.0,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,50.0,52.0,2020/07/17 14:00:00+00
142908,55021,County,Columbia,2020/07/17 19:00:00+00,7516.0,141,18.0,102.0,21.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,137.0,147.0,2020/07/17 14:00:00+00
142921,55023,County,Crawford,2020/07/17 19:00:00+00,2815.0,46,2.0,34.0,10.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.0,23.0,2020/07/17 14:00:00+00
142928,55025,County,Dane,2020/07/17 19:00:00+00,93024.0,3365,263.0,1857.0,1245.0,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,2082.0,2146.0,2020/07/17 14:00:00+00
143034,55027,County,Dodge,2020/07/17 19:00:00+00,13028.0,557,34.0,226.0,297.0,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,259.0,275.0,2020/07/17 14:00:00+00
143055,55029,County,Door,2020/07/17 19:00:00+00,3386.0,70,7.0,24.0,39.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,82.0,86.0,2020/07/17 14:00:00+00
143065,55031,County,Douglas,2020/07/17 19:00:00+00,3461.0,66,7.0,54.0,5.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,92.0,92.0,2020/07/17 14:00:00+00
143078,55033,County,Dunn,2020/07/17 19:00:00+00,4348.0,60,6.0,41.0,13.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16.0,17.0,2020/07/17 14:00:00+00
143087,55035,County,Eau Claire,2020/07/17 19:00:00+00,11119.0,371,21.0,253.0,97.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,95.0,101.0,2020/07/17 14:00:00+00
143108,55037,County,Florence,2020/07/17 19:00:00+00,484.0,6,1.0,5.0,0.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,5.0,2020/07/17 14:00:00+00
143111,55039,County,Fond du Lac,2020/07/17 19:00:00+00,11863.0,418,41.0,329.0,48.0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,137.0,145.0,2020/07/17 14:00:00+00
143132,55041,County,Forest,2020/07/17 19:00:00+00,713.0,49,1.0,16.0,32.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,2020/07/17 14:00:00+00
143137,55043,County,Grant,2020/07/17 19:00:00+00,7160.0,236,18.0,174.0,44.0,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,91.0,96.0,2020/07/17 14:00:00+00
143150,55045,County,Green,2020/07/17 19:00:00+00,3709.0,114,10.0,94.0,10.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,30.0,31.0,2020/07/17 14:00:00+00
143159,55047,County,Green Lake,2020/07/17 19:00:00+00,2008.0,44,7.0,27.0,10.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28.0,28.0,2020/07/17 14:00:00+00
143166,55049,County,Iowa,2020/07/17 19:00:00+00,3211.0,47,5.0,22.0,20.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,62.0,62.0,2020/07/17 14:00:00+00
